Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 275,275,275
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 27.49168777580951683603
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.3886306371 | 0.0694859048
	3.6193580194 | 7.9178222666 | 18.4767948841
	14.8101968258 | 16.3223666292 | 2.2866575142
	95.6802585245 | 94.6183694950 | 1.1276083110
	80.7599408181 | 82.3213148283 | 2.4378887997
	151.9124776000 | 142.9122936615 | 81.0033109268
	38.1071303166 | 37.3548837280 | 0.5658749300
	60.5283449415 | 56.4472834163 | 16.6550631728
	15.7713610460 | 17.6695051076 | 3.6029508786
	26.9295441315 | 28.6201423906 | 2.8581224738
	45.3353975536 | 42.4679522717 | 8.2222424448
	26.9394855072 | 27.4510041392 | 0.2616513109
	18.7386443260 | 16.9729768093 | 3.1175817794
	12.9336643570 | 20.4039412525 | 55.8050368951
	14.2649027747 | 17.2949559409 | 9.1812221901
	41.8627761972 | 42.9917917822 | 1.2746761912
	23.8797765501 | 35.7779627061 | 141.5668338034
	13.8573527199 | 27.6384446280 | 189.9184941799
	14.6417113659 | 12.0559834433 | 6.6859888896
	7.6741391471 | 9.3495367946 | 2.8069572773
	21.0954875292 | 20.6064548252 | 0.2391529857
	7.3071484354 | 9.6190956900 | 5.3451001083
	8.1531554515 | 11.0055793237 | 8.1363219471
	17.5377826988 | 18.7324867246 | 1.4273177092
	16.0668745556 | 12.6787738753 | 11.4792262195
	12.1911370473 | 21.7983344783 | 92.2982424795
	8.8726714451 | 8.8720829844 | 0.0000003463
	11.2864427278 | 13.4348189997 | 4.6155206056
	10.1091975389 | 6.6636286207 | 11.8719451696
	8.0182772777 | 7.9178222666 | 0.0100912093
	14.6978954500 | 17.1909162417 | 6.2151526682
	6.2137733467 | 9.7179704861 | 12.2793975915
	18.2282702253 | 16.4102857152 | 3.3050676790
	10.7750992010 | 12.6364203291 | 3.4645163419
	10.2547250236 | 11.5682458413 | 1.7253369383
	5.8496227769 | 11.0055793237 | 26.5838879129
	7.5810516990 | 10.1146164066 | 6.4189501276
	8.4908655969 | 9.7179704861 | 1.5057864091
	6.0780658615 | 9.2632418350 | 10.1453459822
	7.0879116947 | 7.9835084649 | 0.8020935747
