Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 151,151,151
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.16084250359909546546
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 41.3932416571 | 18.1390023974
	3.6193580194 | 9.1014534003 | 30.0533697651
	14.8101968258 | 18.5420447139 | 13.9266886597
	95.6802585245 | 90.0430562407 | 31.7780495881
	80.7599408181 | 74.4873447763 | 39.3454611035
	151.9124776000 | 149.2012586474 | 7.3507082091
	38.1071303166 | 36.6498902476 | 2.1235486187
	60.5283449415 | 62.2175829432 | 2.8535250262
	15.7713610460 | 17.9110435809 | 4.5782413500
	26.9295441315 | 32.3150139786 | 29.0032854739
	45.3353975536 | 43.8749317283 | 2.1329604269
	26.9394855072 | 29.1517010033 | 4.8938974010
	18.7386443260 | 27.0475352067 | 69.0376676671
	12.9336643570 | 16.8632965143 | 15.4420088916
	14.2649027747 | 14.8120571094 | 0.2993778660
	41.8627761972 | 42.1538666492 | 0.0847336512
	23.8797765501 | 23.4049234744 | 0.2254854435
	13.8573527199 | 15.1494201150 | 1.6694381535
	14.6417113659 | 14.7320320696 | 0.0081578295
	7.6741391471 | 16.7520874973 | 82.4091462491
	21.0954875292 | 19.6959398964 | 1.9587335767
	7.3071484354 | 7.0530066299 | 0.0645880573
	8.1531554515 | 9.6488339426 | 2.2370541489
	17.5377826988 | 17.2428987598 | 0.0869565375
	16.0668745556 | 15.3074690032 | 0.5766967929
	12.1911370473 | 13.0810335169 | 0.7919157267
	8.8726714451 | 10.7805921920 | 3.6401615764
	11.2864427278 | 13.6925517007 | 5.7893603893
	10.1091975389 | 8.9952383735 | 1.2409050220
	8.0182772777 | 14.1337668117 | 37.3992122399
	14.6978954500 | 13.9558671843 | 0.5506059470
	6.2137733467 | 6.0723684617 | 0.0199953415
	18.2282702253 | 18.0382659034 | 0.0361016423
	10.7750992010 | 13.4224141507 | 7.0082764425
	10.2547250236 | 17.8209976982 | 57.2484821865
	5.8496227769 | 18.5195327439 | 160.5266185716
	7.5810516990 | 13.4928991537 | 34.9499403275
	8.4908655969 | 10.2218481932 | 2.9963007489
	6.0780658615 | 9.4635903477 | 11.4617760467
	7.0879116947 | 7.7596597164 | 0.4512454046
