Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 400,400,400
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 25.87849735677062312789
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.5021038880 | 0.7222814964
	3.6193580194 | 6.1171978094 | 6.2392036167
	14.8101968258 | 15.2268022006 | 0.1735600383
	95.6802585245 | 91.9832016327 | 13.6682296613
	80.7599408181 | 77.1015584127 | 13.3837618237
	151.9124776000 | 144.4013408460 | 56.4171753376
	38.1071303166 | 34.6867365182 | 11.6990937356
	60.5283449415 | 57.7030354912 | 7.9823734902
	15.7713610460 | 17.1174813444 | 1.8120398577
	26.9295441315 | 30.4525405333 | 12.4115036472
	45.3353975536 | 41.5190513121 | 14.5644986354
	26.9394855072 | 25.1905456650 | 3.0587905719
	18.7386443260 | 16.2459680696 | 6.2134349191
	12.9336643570 | 16.3024061352 | 11.3484211677
	14.2649027747 | 15.1402818967 | 0.7662886072
	41.8627761972 | 41.8771788819 | 0.0002074373
	23.8797765501 | 27.7543433194 | 15.0122676499
	13.8573527199 | 16.9282428936 | 9.4303664588
	14.6417113659 | 13.1041477816 | 2.3641017758
	7.6741391471 | 10.2920702868 | 6.8535634524
	21.0954875292 | 27.5210733485 | 41.2881531206
	7.3071484354 | 11.5315934870 | 17.8459359937
	8.1531554515 | 5.9026283178 | 5.0648723795
	17.5377826988 | 21.8410292643 | 18.5179310037
	16.0668745556 | 18.1588241402 | 4.3762530646
	12.1911370473 | 20.0421336248 | 61.6381472597
	8.8726714451 | 7.7848413353 | 1.1833743478
	11.2864427278 | 9.7022237313 | 2.5097498290
	10.1091975389 | 18.9034471022 | 77.3388253827
	8.0182772777 | 9.0035883369 | 0.9708378833
	14.6978954500 | 10.8295736666 | 14.9639134197
	6.2137733467 | 10.5357409493 | 18.6794039577
	18.2282702253 | 18.1489935088 | 0.0062847978
	10.7750992010 | 16.1173128489 | 28.5392466596
	10.2547250236 | 18.2054949465 | 63.2147423664
	5.8496227769 | 8.5005529165 | 7.0274306053
	7.5810516990 | 14.2932176369 | 45.0531715784
	8.4908655969 | 11.1744720633 | 7.2017436664
	6.0780658615 | 7.2452510595 | 1.3623212864
	7.0879116947 | 14.7555791016 | 58.7931234619
