Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 256,256,256
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 23.50955106964311625006
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.9602975721 | 0.0949041322
	3.6193580194 | 11.9354797233 | 69.1578801934
	14.8101968258 | 14.9386752969 | 0.0165067175
	95.6802585245 | 93.2322569974 | 5.9927114766
	80.7599408181 | 78.6798921424 | 4.3266024932
	151.9124776000 | 151.5593290715 | 0.1247138832
	38.1071303166 | 35.1348696428 | 8.8343335126
	60.5283449415 | 59.6949727719 | 0.6945091731
	15.7713610460 | 17.7185706447 | 3.7916252212
	26.9295441315 | 26.3061616034 | 0.3886057764
	45.3353975536 | 41.3188458518 | 16.1326875736
	26.9394855072 | 27.9599296957 | 1.0413063417
	18.7386443260 | 17.6257462068 | 1.2385422237
	12.9336643570 | 14.5267861258 | 2.5380369700
	14.2649027747 | 12.0358419668 | 4.9687120852
	41.8627761972 | 42.6967096885 | 0.6954450679
	23.8797765501 | 22.4025545574 | 2.1821848157
	13.8573527199 | 17.1668142701 | 10.9525357522
	14.6417113659 | 14.2877292260 | 0.1253033554
	7.6741391471 | 14.9340620958 | 52.7064812211
	21.0954875292 | 21.2581815122 | 0.0264693321
	7.3071484354 | 7.8443900482 | 0.2886285506
	8.1531554515 | 10.4181158397 | 5.1300455605
	17.5377826988 | 14.5503616492 | 8.9246845276
	16.0668745556 | 15.5082269421 | 0.3120871560
	12.1911370473 | 10.5385054237 | 2.7311912831
	8.8726714451 | 12.7778632939 | 15.2505233761
	11.2864427278 | 18.3681758614 | 50.1509441757
	10.1091975389 | 17.9153953058 | 60.9367235764
	8.0182772777 | 14.5789905488 | 43.0429586261
	14.6978954500 | 12.6108866838 | 4.3556055903
	6.2137733467 | 11.7162286593 | 30.2770144673
	18.2282702253 | 21.0262329057 | 7.8285951609
	10.7750992010 | 12.6731446499 | 3.6025765259
	10.2547250236 | 7.2640516073 | 8.9441274830
	5.8496227769 | 6.3398292910 | 0.2403024265
	7.5810516990 | 11.9354797233 | 18.9610434188
	8.4908655969 | 10.4429168334 | 3.8105040301
	6.0780658615 | 11.7696469416 | 32.3940951913
	7.0879116947 | 15.4238125490 | 69.4872430523
