Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 80,80,80
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 31.21413542006748187418
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.0854835368 | 2.4547020920
	3.6193580194 | 7.3621362346 | 14.0083887678
	14.8101968258 | 12.4159474811 | 5.7324299249
	95.6802585245 | 91.5777156986 | 16.8308576381
	80.7599408181 | 82.3372698594 | 2.4879669047
	151.9124776000 | 146.8890669518 | 25.2346545410
	38.1071303166 | 33.1823120956 | 24.2538345091
	60.5283449415 | 60.0741390536 | 0.2063029887
	15.7713610460 | 19.0637638178 | 10.8399160119
	26.9295441315 | 28.5967040676 | 2.7794222528
	45.3353975536 | 40.1304164505 | 27.0918282846
	26.9394855072 | 27.4880539309 | 0.3009273154
	18.7386443260 | 23.9452613527 | 27.1088608627
	12.9336643570 | 15.9950607561 | 9.3721479123
	14.2649027747 | 13.4076444017 | 0.7348919180
	41.8627761972 | 37.8075310586 | 16.4450131346
	23.8797765501 | 23.1386477293 | 0.5492719290
	13.8573527199 | 14.7364094924 | 0.7727408094
	14.6417113659 | 14.8209434678 | 0.0321241464
	7.6741391471 | 18.2971367391 | 112.8480778402
	21.0954875292 | 19.0706860122 | 4.0998211833
	7.3071484354 | 9.4189445843 | 4.4596829744
	8.1531554515 | 18.2829232002 | 102.6121946434
	17.5377826988 | 19.2876719319 | 3.0621123282
	16.0668745556 | 12.2857490629 | 14.2969099916
	12.1911370473 | 19.6870634877 | 56.1889132005
	8.8726714451 | 7.0284857595 | 3.4010208431
	11.2864427278 | 11.0481850168 | 0.0567667368
	10.1091975389 | 11.5313971932 | 2.0226518568
	8.0182772777 | 8.6687869599 | 0.4231628467
	14.6978954500 | 14.4131505136 | 0.0810796788
	6.2137733467 | 18.6780638010 | 155.3585365293
	18.2282702253 | 22.2957443335 | 16.5443456202
	10.7750992010 | 21.7625061027 | 120.7231104235
	10.2547250236 | 14.6571948477 | 19.3817405513
	5.8496227769 | 9.8433513245 | 15.9498677119
	7.5810516990 | 11.9878245134 | 19.4196466379
	8.4908655969 | 10.8796952146 | 5.7065069425
	6.0780658615 | 15.5718692616 | 90.1323030009
	7.0879116947 | 13.4375192840 | 40.3175165378
