Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 470,470,470
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 17.66195073435180162846
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.0909127264 | 12.6829980257
	3.6193580194 | 5.9785847815 | 5.5659509151
	14.8101968258 | 15.5762391733 | 0.5868208780
	95.6802585245 | 92.5860612997 | 9.5740564658
	80.7599408181 | 79.3576297286 | 1.9664763918
	151.9124776000 | 149.4357938205 | 6.1339625435
	38.1071303166 | 35.3553615048 | 7.5722315933
	60.5283449415 | 56.5080413081 | 16.1628413052
	15.7713610460 | 17.4894697286 | 2.9518974453
	26.9295441315 | 25.2517056920 | 2.8151418291
	45.3353975536 | 44.5649529913 | 0.5935848237
	26.9394855072 | 23.9179008878 | 9.1299736123
	18.7386443260 | 22.7537198587 | 16.1208315337
	12.9336643570 | 13.9197751898 | 0.9724145744
	14.2649027747 | 15.9929360353 | 2.9860989497
	41.8627761972 | 43.0564265742 | 1.4248012223
	23.8797765501 | 24.1151675884 | 0.0554089409
	13.8573527199 | 16.8584030929 | 9.0063033413
	14.6417113659 | 17.9788413916 | 11.1364368087
	7.6741391471 | 7.1647574756 | 0.2594696873
	21.0954875292 | 24.7554082249 | 13.3950194983
	7.3071484354 | 7.1647574756 | 0.0202751854
	8.1531554515 | 11.1675401283 | 9.0865149801
	17.5377826988 | 19.0144251372 | 2.1804728908
	16.0668745556 | 19.9211179321 | 14.8551920056
	12.1911370473 | 11.8142546083 | 0.1420403728
	8.8726714451 | 11.9467327971 | 9.4498531958
	11.2864427278 | 12.1441716642 | 0.7356989282
	10.1091975389 | 19.0667381337 | 80.2375335074
	8.0182772777 | 7.7738422989 | 0.0597484589
	14.6978954500 | 18.0808897997 | 11.4446507703
	6.2137733467 | 11.9467327971 | 32.8668240596
	18.2282702253 | 20.7892241182 | 6.5584848416
	10.7750992010 | 9.6945219544 | 1.1676471859
	10.2547250236 | 10.0578648901 | 0.0387539122
	5.8496227769 | 7.5257560723 | 2.8094228239
	7.5810516990 | 9.7200262746 | 4.5752122352
	8.4908655969 | 9.4475756307 | 0.9152940888
	6.0780658615 | 6.1473334401 | 0.0047979974
	7.0879116947 | 9.0123248305 | 3.7033659172
