Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 455,455,455
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.70839162597363625196
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.7107639440 | 0.0034259382
	3.6193580194 | 13.6911959119 | 101.4419185321
	14.8101968258 | 15.5658191854 | 0.5709651503
	95.6802585245 | 95.3289072604 | 0.1234477107
	80.7599408181 | 80.2761344366 | 0.2340686148
	151.9124776000 | 145.9221842231 | 35.8836147411
	38.1071303166 | 36.4107451223 | 2.8777227274
	60.5283449415 | 58.4362158761 | 4.3770040265
	15.7713610460 | 15.7132379667 | 0.0033782923
	26.9295441315 | 28.8876665606 | 3.8342434473
	45.3353975536 | 45.2249366265 | 0.0122016164
	26.9394855072 | 29.3292082235 | 5.7107746605
	18.7386443260 | 25.3239866328 | 43.3667332980
	12.9336643570 | 15.2163420104 | 5.2106172693
	14.2649027747 | 14.2843515930 | 0.0003782565
	41.8627761972 | 39.9321671053 | 3.7272514660
	23.8797765501 | 20.3255427159 | 12.6325781483
	13.8573527199 | 14.3660925109 | 0.2588161749
	14.6417113659 | 18.4942576504 | 14.8421128744
	7.6741391471 | 10.2236798074 | 6.5001575786
	21.0954875292 | 20.2274798211 | 0.7534373814
	7.3071484354 | 7.6673009141 | 0.1297098079
	8.1531554515 | 7.6984572585 | 0.2067504466
	17.5377826988 | 19.0300214679 | 2.2267765442
	16.0668745556 | 15.1254171319 | 0.8863420805
	12.1911370473 | 19.4792475706 | 53.1165550010
	8.8726714451 | 16.1257871278 | 52.6076871070
	11.2864427278 | 10.3899658119 | 0.8036708608
	10.1091975389 | 11.7966553925 | 2.8475140078
	8.0182772777 | 10.0435532272 | 4.1017426717
	14.6978954500 | 12.6231754031 | 4.3044632730
	6.2137733467 | 12.6381003013 | 41.2719768190
	18.2282702253 | 18.8770513825 | 0.4209169899
	10.7750992010 | 11.4896185918 | 0.5105379597
	10.2547250236 | 17.0449593999 | 46.1072828852
	5.8496227769 | 9.5216255404 | 13.4836042952
	7.5810516990 | 9.7992676423 | 4.9204819714
	8.4908655969 | 6.6952589572 | 3.2242032046
	6.0780658615 | 12.5540746897 | 41.9386903435
	7.0879116947 | 7.5320919110 | 0.1972960645
