Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 19,19,19
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.72855150698280013444
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.9425545438 | 0.5036427011
	3.6193580194 | 4.8286172318 | 1.4623078429
	14.8101968258 | 13.9232447982 | 0.7866838994
	95.6802585245 | 87.7195157610 | 63.3734253467
	80.7599408181 | 77.9725069469 | 7.7697875862
	151.9124776000 | 151.9283748118 | 0.0002527213
	38.1071303166 | 33.9584648024 | 17.2114255482
	60.5283449415 | 60.9305647382 | 0.1617807648
	15.7713610460 | 15.4801465318 | 0.0848058933
	26.9295441315 | 26.0080227804 | 0.8492016004
	45.3353975536 | 43.6064612823 | 2.9892206303
	26.9394855072 | 25.2949714453 | 2.7044264999
	18.7386443260 | 20.1444981759 | 1.9764250473
	12.9336643570 | 17.4523924575 | 20.4189036459
	14.2649027747 | 16.6407966904 | 5.6448718989
	41.8627761972 | 36.7956791214 | 25.6754727759
	23.8797765501 | 24.8268998381 | 0.8970425227
	13.8573527199 | 13.1166476322 | 0.5486440269
	14.6417113659 | 18.8477062730 | 17.6903931590
	7.6741391471 | 9.5863589940 | 3.6565847431
	21.0954875292 | 18.6562060962 | 5.9500939094
	7.3071484354 | 12.2238473043 | 24.1739277678
	8.1531554515 | 14.3502964304 | 38.4045563124
	17.5377826988 | 20.8594707419 | 11.0336114558
	16.0668745556 | 14.3502964304 | 2.9466404599
	12.1911370473 | 13.3670926294 | 1.3828715311
	8.8726714451 | 20.7976737984 | 142.2056811252
	11.2864427278 | 14.0361362196 | 7.5608142985
	10.1091975389 | 14.4511010961 | 18.8521264998
	8.0182772777 | 8.7553982370 | 0.5433473086
	14.6978954500 | 18.7956560423 | 16.7916418723
	6.2137733467 | 11.3894613615 | 26.7877464265
	18.2282702253 | 17.3874122394 | 0.7070421525
	10.7750992010 | 9.8013614770 | 0.9481651553
	10.2547250236 | 13.2138769764 | 8.7565802793
	5.8496227769 | 11.3894613615 | 30.6898115438
	7.5810516990 | 17.3964570731 | 96.3421826593
	8.4908655969 | 7.5808702994 | 0.8280914414
	6.0780658615 | 6.3818215509 | 0.0922675189
	7.0879116947 | 8.5366218320 | 2.0987610617
