Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 150,150,150
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 21.39511768103929512108
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.5829857079 | 0.8663016657
	3.6193580194 | 4.4694237736 | 0.7226117865
	14.8101968258 | 18.4069037341 | 12.9363005839
	95.6802585245 | 95.9755465877 | 0.0871950403
	80.7599408181 | 77.4777968249 | 10.7724691919
	151.9124776000 | 150.6451420787 | 1.6061393237
	38.1071303166 | 37.4227632757 | 0.4683582467
	60.5283449415 | 58.3660280103 | 4.6756145110
	15.7713610460 | 14.0253328247 | 3.0486145497
	26.9295441315 | 30.8502389064 | 15.3718475182
	45.3353975536 | 45.2535263358 | 0.0067028963
	26.9394855072 | 27.0785200609 | 0.0193306071
	18.7386443260 | 17.5170709123 | 1.4922416051
	12.9336643570 | 10.1348942302 | 7.8331142228
	14.2649027747 | 20.0676342091 | 33.6716920997
	41.8627761972 | 38.6049913239 | 10.6131622809
	23.8797765501 | 24.1665987198 | 0.0822669570
	13.8573527199 | 18.5685099900 | 22.1950028240
	14.6417113659 | 18.1068381355 | 12.0071035294
	7.6741391471 | 12.8605657701 | 26.8990211160
	21.0954875292 | 17.3885463905 | 13.7414126059
	7.3071484354 | 6.5309624551 | 0.6024646761
	8.1531554515 | 9.0531021412 | 0.8099040444
	17.5377826988 | 18.0415341172 | 0.2537654915
	16.0668745556 | 14.1393346039 | 3.7154102654
	12.1911370473 | 15.7174018810 | 12.4345436773
	8.8726714451 | 10.1857488160 | 1.7241721818
	11.2864427278 | 9.9058968251 | 1.9059069895
	10.1091975389 | 18.6636406065 | 73.1784961976
	8.0182772777 | 7.6349351608 | 0.1469511786
	14.6978954500 | 16.3612354138 | 2.7666998351
	6.2137733467 | 5.7959412696 | 0.1745836447
	18.2282702253 | 17.6717367291 | 0.3097295324
	10.7750992010 | 19.3729887568 | 73.9237048124
	10.2547250236 | 17.0842074052 | 46.6418295999
	5.8496227769 | 10.3827188364 | 20.5489598845
	7.5810516990 | 7.8675542892 | 0.0820837342
	8.4908655969 | 11.8401410541 | 11.2176460880
	6.0780658615 | 10.9973840206 | 24.1996911511
	7.0879116947 | 9.0874152430 | 3.9980144393
