Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 387,387,387
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 28.77652091118429567018
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.1742114104 | 0.2724620568
	3.6193580194 | 9.7209380396 | 37.2292787424
	14.8101968258 | 13.9536080508 | 0.7337443295
	95.6802585245 | 96.9467299038 | 1.6039497546
	80.7599408181 | 78.1925556847 | 6.5914664231
	151.9124776000 | 147.0587847941 | 23.5583338540
	38.1071303166 | 35.2154597369 | 8.3617587413
	60.5283449415 | 59.9606489699 | 0.3222787162
	15.7713610460 | 15.5807779743 | 0.0363219072
	26.9295441315 | 24.3559778300 | 6.6232435083
	45.3353975536 | 45.3384811664 | 0.0000095087
	26.9394855072 | 31.7444000799 | 23.0872040502
	18.7386443260 | 24.1138211774 | 28.8925261838
	12.9336643570 | 22.5409543576 | 92.3000211541
	14.2649027747 | 14.3876668918 | 0.0150710285
	41.8627761972 | 39.7153098503 | 4.6116117110
	23.8797765501 | 24.5687144949 | 0.4746354918
	13.8573527199 | 15.3965962142 | 2.3692705348
	14.6417113659 | 14.4644429869 | 0.0314240782
	7.6741391471 | 15.5414599901 | 61.8947372470
	21.0954875292 | 23.6029541355 | 6.2873887816
	7.3071484354 | 19.4049941638 | 146.3578712696
	8.1531554515 | 12.2152846048 | 16.5008932587
	17.5377826988 | 16.7975978560 | 0.5478736014
	16.0668745556 | 13.1055774268 | 8.7692806849
	12.1911370473 | 13.7989137614 | 2.5849459625
	8.8726714451 | 16.2714790957 | 54.7423546500
	11.2864427278 | 9.9814895174 | 1.7029028814
	10.1091975389 | 10.2336213222 | 0.0154812779
	8.0182772777 | 11.0776123311 | 9.3595309691
	14.6978954500 | 15.2504183521 | 0.3052815573
	6.2137733467 | 5.1336212123 | 1.1667286334
	18.2282702253 | 20.0355264769 | 3.2661751587
	10.7750992010 | 15.7491868173 | 24.7415476142
	10.2547250236 | 23.7983986795 | 183.4310960952
	5.8496227769 | 11.1239446012 | 27.8184707064
	7.5810516990 | 6.4299350112 | 1.3250696287
	8.4908655969 | 13.2502270059 | 22.6515210220
	6.0780658615 | 10.1768351680 | 16.7999098285
	7.0879116947 | 6.2485767502 | 0.7044831492
