Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 352,352,352
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.70354738594269505825
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.8806648541 | 7.6815868235
	3.6193580194 | 8.1691841944 | 20.7009182222
	14.8101968258 | 12.7215539019 | 4.3624292637
	95.6802585245 | 93.3357899643 | 5.4965328298
	80.7599408181 | 77.2196395526 | 12.5337330506
	151.9124776000 | 147.9366613707 | 15.8071146893
	38.1071303166 | 34.3837660935 | 13.8634411375
	60.5283449415 | 57.4717911382 | 9.3425211530
	15.7713610460 | 18.1491923739 | 5.6540818238
	26.9295441315 | 25.7635404897 | 1.3595644925
	45.3353975536 | 42.5768149901 | 7.6097777600
	26.9394855072 | 32.8769404737 | 35.2533714785
	18.7386443260 | 18.5771697956 | 0.0260740240
	12.9336643570 | 24.6113477087 | 136.3682884607
	14.2649027747 | 13.0563929538 | 1.4604959873
	41.8627761972 | 41.3659316402 | 0.2468545139
	23.8797765501 | 21.3406730253 | 6.4470467096
	13.8573527199 | 11.5673833208 | 5.2439598486
	14.6417113659 | 12.8322606770 | 3.2741117956
	7.6741391471 | 11.6165369270 | 15.5425002550
	21.0954875292 | 26.7567149971 | 32.0494964427
	7.3071484354 | 8.7119306301 | 1.9734130145
	8.1531554515 | 9.4858597118 | 1.7761006456
	17.5377826988 | 17.9771225148 | 0.1930194739
	16.0668745556 | 25.1588486900 | 82.6639936613
	12.1911370473 | 15.2087941876 | 9.1062546164
	8.8726714451 | 6.2370673221 | 6.9464090934
	11.2864427278 | 12.6761039487 | 1.9311583088
	10.1091975389 | 12.8585080881 | 7.5587084958
	8.0182772777 | 9.1199881708 | 1.2137668920
	14.6978954500 | 17.1600123422 | 6.0620195910
	6.2137733467 | 10.9738005086 | 22.6578585816
	18.2282702253 | 16.6916547577 | 2.3611870953
	10.7750992010 | 14.5563235846 | 14.2976578387
	10.2547250236 | 10.2618157191 | 0.0000502780
	5.8496227769 | 14.9519176993 | 82.8517728546
	7.5810516990 | 9.7560738415 | 4.7307213204
	8.4908655969 | 9.3588340428 | 0.7533692231
	6.0780658615 | 7.2875453670 | 1.4628406742
	7.0879116947 | 11.7140386957 | 21.4010510295
