Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 394,394,394
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 20.08187956186595357622
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.8259769666 | 0.0301871643
	3.6193580194 | 9.1908526656 | 31.0415525930
	14.8101968258 | 17.4924178255 | 7.1943094910
	95.6802585245 | 94.1345964773 | 2.3890711640
	80.7599408181 | 75.8991853953 | 23.6269432799
	151.9124776000 | 148.5013046683 | 11.6361007700
	38.1071303166 | 36.0888015099 | 4.0736511719
	60.5283449415 | 57.0754316742 | 11.9226100318
	15.7713610460 | 14.7063788129 | 1.1341871569
	26.9295441315 | 26.1464263212 | 0.6132735048
	45.3353975536 | 43.7978181062 | 2.3641505571
	26.9394855072 | 25.1601555608 | 3.1660150584
	18.7386443260 | 18.3427077067 | 0.1567658065
	12.9336643570 | 13.4925053610 | 0.3123032677
	14.2649027747 | 15.2423859630 | 0.9554733834
	41.8627761972 | 42.1415598391 | 0.0777203190
	23.8797765501 | 21.8235707526 | 4.2279822818
	13.8573527199 | 13.6941604006 | 0.0266317331
	14.6417113659 | 13.3340353692 | 1.7100165124
	7.6741391471 | 10.0151357076 | 5.4802648964
	21.0954875292 | 19.2407928092 | 3.4398925047
	7.3071484354 | 7.7569994121 | 0.2023659013
	8.1531554515 | 11.3809022758 | 10.4183495619
	17.5377826988 | 18.9926777221 | 2.1167195290
	16.0668745556 | 16.6964734259 | 0.3963947375
	12.1911370473 | 19.1110983054 | 47.8858638139
	8.8726714451 | 14.9569887880 | 37.0189175287
	11.2864427278 | 9.1908526656 | 4.3914977087
	10.1091975389 | 20.7585304190 | 113.4082907908
	8.0182772777 | 8.6862269284 | 0.4461567358
	14.6978954500 | 18.6344369721 | 15.4963591558
	6.2137733467 | 9.9338718686 | 13.8391330123
	18.2282702253 | 18.1529030583 | 0.0056802099
	10.7750992010 | 13.0948552756 | 5.3812682452
	10.2547250236 | 12.7589372805 | 6.2710790272
	5.8496227769 | 10.3924459973 | 20.6372428118
	7.5810516990 | 6.7797172286 | 0.6421369334
	8.4908655969 | 11.0742620874 | 6.6739374274
	6.0780658615 | 7.6158036589 | 2.3646375337
	7.0879116947 | 7.4146431211 | 0.1067534250
