Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 332,332,332
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.36087429324637554373
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.2320074372 | 2.0170390280
	3.6193580194 | 5.6607637565 | 4.1673373835
	14.8101968258 | 13.8953200305 | 0.8369995506
	95.6802585245 | 96.5309284124 | 0.7236392582
	80.7599408181 | 78.5151420985 | 5.0391212912
	151.9124776000 | 146.0537659196 | 34.3245025539
	38.1071303166 | 41.6938334844 | 12.8644396143
	60.5283449415 | 55.5639317414 | 24.6453984214
	15.7713610460 | 14.6821061178 | 1.1864762987
	26.9295441315 | 28.1561816567 | 1.5046396184
	45.3353975536 | 45.8130667873 | 0.2281678968
	26.9394855072 | 27.0156165341 | 0.0057959332
	18.7386443260 | 19.3375432892 | 0.3586799681
	12.9336643570 | 19.4030518869 | 41.8529750116
	14.2649027747 | 12.2466257145 | 4.0734422915
	41.8627761972 | 39.2120368645 | 7.0264190100
	23.8797765501 | 27.3945647269 | 12.3537359276
	13.8573527199 | 12.3540028670 | 2.2600607802
	14.6417113659 | 17.2024345515 | 6.5573032334
	7.6741391471 | 14.3921444596 | 45.1315953793
	21.0954875292 | 22.8991155431 | 3.2530740124
	7.3071484354 | 8.6115181529 | 1.7013803599
	8.1531554515 | 11.4906158449 | 11.1386418777
	17.5377826988 | 16.9050532433 | 0.4003465639
	16.0668745556 | 15.2516594633 | 0.6645756467
	12.1911370473 | 15.4927275581 | 10.9004999012
	8.8726714451 | 11.5017633191 | 6.9121240820
	11.2864427278 | 16.2775850727 | 24.9115019064
	10.1091975389 | 8.3345089240 | 3.1495196796
	8.0182772777 | 24.8301205127 | 282.6380729587
	14.6978954500 | 16.5041331627 | 3.2624946749
	6.2137733467 | 10.1177612462 | 15.2411215195
	18.2282702253 | 17.9002982509 | 0.1075656160
	10.7750992010 | 11.9199489856 | 1.3106810292
	10.2547250236 | 13.6314511666 | 11.4022794444
	5.8496227769 | 10.8155740140 | 24.6606716891
	7.5810516990 | 8.8915595356 | 1.7174307899
	8.4908655969 | 15.9888394295 | 56.2196115950
	6.0780658615 | 10.9686430723 | 23.9177454552
	7.0879116947 | 9.1442643524 | 4.2285862528
