Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 131,131,131
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.71575701918986123218
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.0215177677 | 2.0658524575
	7.4588251313 | 7.6215204428 | 0.0264697644
	7.4588251313 | 5.4488376462 | 4.0400496903
	7.4588251313 | 7.7985744016 | 0.1154295667
	7.4588251313 | 7.7099443021 | 0.0630608379
	7.4588251313 | 5.8893409717 | 2.4632805272
	7.4588251313 | 7.8200519076 | 0.1304847839
	7.4588251313 | 7.8181704782 | 0.1291290783
	7.4588251313 | 7.5919025314 | 0.0177095944
	7.4588251313 | 6.6302969032 | 0.6864590248
	7.4588251313 | 7.3376347448 | 0.0146871098
	7.4588251313 | 7.5336383024 | 0.0055970106
	7.4588251313 | 7.6381744257 | 0.0321661694
	7.4588251313 | 7.5842123662 | 0.0157219587
	7.4588251313 | 5.8805039239 | 2.4910978335
	7.4588251313 | 7.2480684934 | 0.0444183604
	7.4588251313 | 7.4526111598 | 0.0000386134
	7.4588251313 | 7.9505740922 | 0.2418170406
	7.4588251313 | 7.7060775047 | 0.0611337361
	7.4588251313 | 7.8829509713 | 0.1798827282
	7.4588251313 | 6.7128738005 | 0.5564433879
	7.4588251313 | 7.3579297780 | 0.0101798723
	7.4588251313 | 7.9277528791 | 0.2198932327
	7.4588251313 | 7.6473524376 | 0.0355425452
	7.4588251313 | 6.1409638084 | 1.7367584663
	7.4588251313 | 6.2110616960 | 1.5569135905
	7.4588251313 | 7.7107599499 | 0.0634711528
	7.4588251313 | 7.6456960213 | 0.0349207295
	7.4588251313 | 7.7395209232 | 0.0787901276
	7.4588251313 | 7.5681124157 | 0.0119437105
	7.4588251313 | 7.5751920350 | 0.0135412563
	7.4588251313 | 7.7520194974 | 0.0859629363
	7.4588251313 | 7.5994414523 | 0.0197729497
	7.4588251313 | 5.5576656756 | 3.6144072760
	7.4588251313 | 8.0281558922 | 0.3241375153
	7.4588251313 | 7.0598823748 | 0.1591553229
	7.4588251313 | 6.6470130952 | 0.6590387820
	7.4588251313 | 7.3991501296 | 0.0035611058
	7.4588251313 | 7.8162440543 | 0.1277482865
	7.4588251313 | 7.7777234407 | 0.1016961317
