Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 91,91,91
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.84944401341667408190
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.4011455959 | 0.8879678581
	7.4588251313 | 6.2062942069 | 1.5688337166
	7.4588251313 | 7.4981328170 | 0.0015450942
	7.4588251313 | 7.6894381437 | 0.0531823615
	7.4588251313 | 7.7687403882 | 0.0960474665
	7.4588251313 | 8.1357473453 | 0.4582236839
	7.4588251313 | 6.1148674468 | 1.8062222576
	7.4588251313 | 6.5764583156 | 0.7785711975
	7.4588251313 | 7.9360687185 | 0.2277614416
	7.4588251313 | 6.8710505109 | 0.3454790044
	7.4588251313 | 8.1554371631 | 0.4852683229
	7.4588251313 | 6.2100903646 | 1.5593385176
	7.4588251313 | 7.8659502109 | 0.1657508305
	7.4588251313 | 7.4836623030 | 0.0006168851
	7.4588251313 | 8.1574573673 | 0.4880870013
	7.4588251313 | 7.9588209185 | 0.2499957872
	7.4588251313 | 6.2047018969 | 1.5728250871
	7.4588251313 | 7.7801457011 | 0.1032469086
	7.4588251313 | 7.4634208364 | 0.0000211205
	7.4588251313 | 6.9130472404 | 0.2978735062
	7.4588251313 | 7.6443427242 | 0.0344167773
	7.4588251313 | 7.2580331123 | 0.0403174349
	7.4588251313 | 7.9587939189 | 0.2499687885
	7.4588251313 | 7.7406671234 | 0.0794349085
	7.4588251313 | 7.8379007731 | 0.1436983422
	7.4588251313 | 8.6422829432 | 1.4005723927
	7.4588251313 | 7.7711285849 | 0.0975334471
	7.4588251313 | 7.4437684103 | 0.0002267048
	7.4588251313 | 7.7437675373 | 0.0811921748
	7.4588251313 | 5.7158908466 | 3.0378199207
	7.4588251313 | 7.2204780023 | 0.0568093539
	7.4588251313 | 7.5969712962 | 0.0190843629
	7.4588251313 | 6.2654085442 | 1.4242431504
	7.4588251313 | 7.7814821240 | 0.1041075349
	7.4588251313 | 6.2866700880 | 1.3739474456
	7.4588251313 | 8.1619676808 | 0.4944094450
	7.4588251313 | 8.0750734852 | 0.3797620337
	7.4588251313 | 6.2929038975 | 1.3593723233
	7.4588251313 | 6.0639926269 | 1.9455577153
	7.4588251313 | 7.6773999101 | 0.0477749339
