Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 198,198,198
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.60617952507769246040
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 47.6750970682 | 4.0919813474
	3.6193580194 | 11.3565713866 | 59.8644706903
	14.8101968258 | 13.8393562258 | 0.9425314706
	95.6802585245 | 92.5624576705 | 9.7206821653
	80.7599408181 | 77.6084865957 | 9.9316637155
	151.9124776000 | 145.2400727127 | 44.5209869803
	38.1071303166 | 39.6470725922 | 2.3714222123
	60.5283449415 | 61.6354829593 | 1.2257545905
	15.7713610460 | 17.1833802459 | 1.9937982209
	26.9295441315 | 25.8498131910 | 1.1658189038
	45.3353975536 | 42.3519312194 | 8.9010713678
	26.9394855072 | 25.6661417122 | 1.6214044203
	18.7386443260 | 16.3160792323 | 5.8688216330
	12.9336643570 | 16.4710576286 | 12.5131511576
	14.2649027747 | 14.6327565076 | 0.1353163688
	41.8627761972 | 37.3365480662 | 20.4867410945
	23.8797765501 | 24.4744978421 | 0.3536934152
	13.8573527199 | 16.0276157885 | 4.7100417868
	14.6417113659 | 19.6952207868 | 25.5379574670
	7.6741391471 | 11.6681025522 | 15.9517436814
	21.0954875292 | 21.9980734453 | 0.8146613359
	7.3071484354 | 8.8069264390 | 2.2493340602
	8.1531554515 | 11.9136701442 | 14.1414707546
	17.5377826988 | 17.5408057367 | 0.0000091388
	16.0668745556 | 12.6538245385 | 11.6489104189
	12.1911370473 | 16.4085951432 | 17.7869527909
	8.8726714451 | 11.3565713866 | 6.1697589196
	11.2864427278 | 18.6147077279 | 53.7034679121
	10.1091975389 | 10.2793604539 | 0.0289554176
	8.0182772777 | 18.2147842248 | 103.9687539223
	14.6978954500 | 17.0804984130 | 5.6767968796
	6.2137733467 | 11.3565713866 | 26.4483716795
	18.2282702253 | 15.9585912688 | 5.1514425658
	10.7750992010 | 12.1986697255 | 2.0265530382
	10.2547250236 | 14.6190119849 | 19.0470006799
	5.8496227769 | 17.0926847535 | 126.4064426096
	7.5810516990 | 9.3487371356 | 3.1247118030
	8.4908655969 | 14.4206455714 | 35.1622905463
	6.0780658615 | 8.5313898061 | 6.0187983774
	7.0879116947 | 13.1215717267 | 36.4050533813
