Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 93,93,93
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.09768615633262189846
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.0487541421 | 0.3480162378
	7.4588251313 | 6.6297372668 | 0.6873866871
	7.4588251313 | 7.8493570369 | 0.1525151693
	7.4588251313 | 6.4539092059 | 1.0098560171
	7.4588251313 | 6.8062483339 | 0.4258564765
	7.4588251313 | 5.8120673491 | 2.7118111932
	7.4588251313 | 7.3298708193 | 0.0166292146
	7.4588251313 | 7.8051365997 | 0.1199316331
	7.4588251313 | 7.8756386219 | 0.1737334859
	7.4588251313 | 7.8471580111 | 0.1508024256
	7.4588251313 | 7.5634243080 | 0.0109409878
	7.4588251313 | 7.9599346908 | 0.2511107907
	7.4588251313 | 7.8036107712 | 0.1188771375
	7.4588251313 | 8.1058141840 | 0.4185948344
	7.4588251313 | 6.2998223346 | 1.3432874828
	7.4588251313 | 7.6575702523 | 0.0394996231
	7.4588251313 | 6.8209322887 | 0.4069072786
	7.4588251313 | 8.5178703747 | 1.1215768276
	7.4588251313 | 7.8190765896 | 0.1297811132
	7.4588251313 | 8.0082888153 | 0.3019103400
	7.4588251313 | 7.5226910351 | 0.0040788537
	7.4588251313 | 7.3772254322 | 0.0066585109
	7.4588251313 | 7.4931654941 | 0.0011792605
	7.4588251313 | 7.0988912319 | 0.1295524119
	7.4588251313 | 7.9927900088 | 0.2851184905
	7.4588251313 | 7.9060055000 | 0.1999702822
	7.4588251313 | 5.8940950206 | 2.4483803193
	7.4588251313 | 8.5099047650 | 1.1047683964
	7.4588251313 | 7.9735017635 | 0.2648920358
	7.4588251313 | 7.8338066921 | 0.1406111709
	7.4588251313 | 7.1993344646 | 0.0673354061
	7.4588251313 | 8.1426109269 | 0.4675630143
	7.4588251313 | 7.4175356308 | 0.0017048228
	7.4588251313 | 6.7357187927 | 0.5228827769
	7.4588251313 | 7.4996914417 | 0.0016700553
	7.4588251313 | 8.3622160255 | 0.8161151078
	7.4588251313 | 7.6143499872 | 0.0241879808
	7.4588251313 | 7.8137474745 | 0.1259698697
	7.4588251313 | 7.5119755759 | 0.0028249698
	7.4588251313 | 7.9451821444 | 0.2365431442
