Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 128,128,128
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.26210784096117567543
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.3182570395 | 1.3008955720
	7.4588251313 | 7.1498575735 | 0.0954609518
	7.4588251313 | 7.5475283782 | 0.0078682660
	7.4588251313 | 7.8888526099 | 0.1849236324
	7.4588251313 | 8.4461678875 | 0.9748457183
	7.4588251313 | 7.4130092744 | 0.0020990927
	7.4588251313 | 7.7840224356 | 0.1057532868
	7.4588251313 | 8.2373195920 | 0.6060536253
	7.4588251313 | 7.4366576194 | 0.0004913986
	7.4588251313 | 7.9173438333 | 0.2102394001
	7.4588251313 | 7.8466965787 | 0.1504442598
	7.4588251313 | 7.8958542379 | 0.1909944401
	7.4588251313 | 7.1257871273 | 0.1109143121
	7.4588251313 | 8.0475176529 | 0.3465588850
	7.4588251313 | 6.4324767767 | 1.0533909450
	7.4588251313 | 5.8256821758 | 2.6671559131
	7.4588251313 | 6.5192478726 | 0.8828054251
	7.4588251313 | 7.7078737036 | 0.0620251914
	7.4588251313 | 5.6806693809 | 3.1618378725
	7.4588251313 | 7.8781084820 | 0.1757985282
	7.4588251313 | 7.9011506514 | 0.1956518657
	7.4588251313 | 8.4398242745 | 0.9623593190
	7.4588251313 | 7.7002281251 | 0.0582754054
	7.4588251313 | 7.5139181445 | 0.0030352401
	7.4588251313 | 7.5612463726 | 0.0104901107
	7.4588251313 | 6.3327126466 | 1.2681293281
	7.4588251313 | 7.4906403603 | 0.0010122088
	7.4588251313 | 7.4334981150 | 0.0006414578
	7.4588251313 | 7.6325635240 | 0.0301850291
	7.4588251313 | 8.2060870206 | 0.5584003313
	7.4588251313 | 7.6790770086 | 0.0485108894
	7.4588251313 | 7.2960726845 | 0.0264883589
	7.4588251313 | 7.3426260691 | 0.0135022220
	7.4588251313 | 7.4337147669 | 0.0006305304
	7.4588251313 | 6.6116077594 | 0.7177772753
	7.4588251313 | 8.0531667983 | 0.3532420171
	7.4588251313 | 6.5499328380 | 0.8260852008
	7.4588251313 | 8.3184048645 | 0.7388773178
	7.4588251313 | 7.3238040692 | 0.0182306872
	7.4588251313 | 7.6673478804 | 0.0434817369
