Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 422,422,422
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 28.36612592009693400996
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.0706529571 | 2.5013936269
	3.6193580194 | 10.7756851014 | 51.2130173039
	14.8101968258 | 19.5108553682 | 22.0961907322
	95.6802585245 | 91.5168031682 | 17.3343605041
	80.7599408181 | 76.3870854814 | 19.1218637959
	151.9124776000 | 148.8150139720 | 9.5942809269
	38.1071303166 | 35.3644339732 | 7.5223832320
	60.5283449415 | 59.2658905385 | 1.5937911197
	15.7713610460 | 19.5108553682 | 13.9838177860
	26.9295441315 | 22.4878885209 | 19.7283045628
	45.3353975536 | 44.8263368637 | 0.2591427861
	26.9394855072 | 30.3517358462 | 11.6434523758
	18.7386443260 | 22.7379414925 | 15.9943778257
	12.9336643570 | 13.5801111638 | 0.4178934739
	14.2649027747 | 16.4193815426 | 4.6417787614
	41.8627761972 | 38.2449254361 | 13.0888441295
	23.8797765501 | 24.6283738102 | 0.5603978578
	13.8573527199 | 13.4013083718 | 0.2079764474
	14.6417113659 | 26.4674856635 | 139.8489377388
	7.6741391471 | 12.7786460427 | 26.0559906474
	21.0954875292 | 25.2862647706 | 17.5626138863
	7.3071484354 | 8.8918368466 | 2.5112373607
	8.1531554515 | 10.8380091297 | 7.2084392734
	17.5377826988 | 16.9951345880 | 0.2944669721
	16.0668745556 | 14.6062707439 | 2.1333634946
	12.1911370473 | 12.0893064850 | 0.0103694634
	8.8726714451 | 8.3024802472 | 0.3251180021
	11.2864427278 | 13.8874349290 | 6.7651604308
	10.1091975389 | 14.9013918708 | 22.9651265145
	8.0182772777 | 9.6851696089 | 2.7785300439
	14.6978954500 | 16.0845425807 | 1.9227902651
	6.2137733467 | 4.8545978397 | 1.8473580589
	18.2282702253 | 14.7225746779 | 12.2899012713
	10.7750992010 | 12.7033633996 | 3.7182028196
	10.2547250236 | 9.9300476358 | 0.1054154062
	5.8496227769 | 16.0758689229 | 104.5761102387
	7.5810516990 | 13.6972938241 | 37.4084177333
	8.4908655969 | 12.8664289726 | 19.1455548545
	6.0780658615 | 11.4938943739 | 29.3311984764
	7.0879116947 | 19.5108553682 | 154.3295295147
