Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 477,477,477
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.54962462893122143726
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.5621448561 | 0.8040355159
	7.4588251313 | 7.3995275251 | 0.0035162061
	7.4588251313 | 7.4482366480 | 0.0001121160
	7.4588251313 | 6.2516918420 | 1.4571707780
	7.4588251313 | 6.4506172300 | 1.0164831722
	7.4588251313 | 7.3045148409 | 0.0238116657
	7.4588251313 | 8.1536388750 | 0.4827661384
	7.4588251313 | 7.6837219107 | 0.0505785614
	7.4588251313 | 8.1569362112 | 0.4873590799
	7.4588251313 | 8.4582648605 | 0.9988797723
	7.4588251313 | 6.9049753284 | 0.3067496042
	7.4588251313 | 7.8799295807 | 0.1773289574
	7.4588251313 | 8.1394084228 | 0.4631936167
	7.4588251313 | 7.3749844685 | 0.0070292567
	7.4588251313 | 5.8568085785 | 2.5664570354
	7.4588251313 | 7.1966377530 | 0.0687422213
	7.4588251313 | 7.9891675369 | 0.2812630672
	7.4588251313 | 8.6729269100 | 1.4740431290
	7.4588251313 | 7.6720689179 | 0.0454729125
	7.4588251313 | 6.4409034683 | 1.0361645119
	7.4588251313 | 7.4898321749 | 0.0009614368
	7.4588251313 | 6.9190007708 | 0.2914103402
	7.4588251313 | 7.9805131868 | 0.2721584272
	7.4588251313 | 8.0314329417 | 0.3278797046
	7.4588251313 | 5.8933598517 | 2.4506815415
	7.4588251313 | 7.5363211066 | 0.0060056262
	7.4588251313 | 7.3449814178 | 0.0129603911
	7.4588251313 | 7.8904311840 | 0.1862837848
	7.4588251313 | 8.1828976034 | 0.5242809448
	7.4588251313 | 7.6750414341 | 0.0467494896
	7.4588251313 | 8.0777656941 | 0.3830874203
	7.4588251313 | 7.8199388242 | 0.1304030992
	7.4588251313 | 8.0690806097 | 0.3724117489
	7.4588251313 | 7.5009137995 | 0.0017714560
	7.4588251313 | 7.4462709875 | 0.0001576065
	7.4588251313 | 6.5019844550 | 0.9155440798
	7.4588251313 | 7.4425425826 | 0.0002651214
	7.4588251313 | 7.6013797484 | 0.0203218188
	7.4588251313 | 5.7309955511 | 2.9853950582
	7.4588251313 | 7.5973814373 | 0.0191978499
