Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 462,462,462
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.36996576296311367571
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.8006556893 | 0.1168481304
	7.4588251313 | 7.7043712221 | 0.0602928827
	7.4588251313 | 7.5491692932 | 0.0081620676
	7.4588251313 | 7.8024891963 | 0.1181049896
	7.4588251313 | 7.8603144015 | 0.1611936341
	7.4588251313 | 6.0106457214 | 2.0972236031
	7.4588251313 | 6.4097661962 | 1.1005246493
	7.4588251313 | 8.0942290128 | 0.4037380926
	7.4588251313 | 7.7009096282 | 0.0586049036
	7.4588251313 | 7.9217808636 | 0.2143280101
	7.4588251313 | 7.6435943315 | 0.0341396573
	7.4588251313 | 6.5823698559 | 0.7681738497
	7.4588251313 | 8.5013530878 | 1.0868645401
	7.4588251313 | 8.0163352502 | 0.3108175327
	7.4588251313 | 7.9512327427 | 0.2424652557
	7.4588251313 | 7.8382657853 | 0.1439752099
	7.4588251313 | 8.2983177901 | 0.7047479243
	7.4588251313 | 7.6265755258 | 0.0281401949
	7.4588251313 | 8.0470160968 | 0.3459686119
	7.4588251313 | 7.9970055553 | 0.2896381688
	7.4588251313 | 7.2462458245 | 0.0451899617
	7.4588251313 | 7.7806429114 | 0.1035666836
	7.4588251313 | 7.7203270648 | 0.0683832612
	7.4588251313 | 6.8985357169 | 0.3139242278
	7.4588251313 | 8.2962133497 | 0.7012190284
	7.4588251313 | 7.8136740639 | 0.1259177650
	7.4588251313 | 7.5313503646 | 0.0052599095
	7.4588251313 | 7.7466464670 | 0.0828411213
	7.4588251313 | 5.7055223972 | 3.0740704773
	7.4588251313 | 7.9147784339 | 0.2078934142
	7.4588251313 | 6.2303967933 | 1.5090361815
	7.4588251313 | 7.8927924225 | 0.1883276099
	7.4588251313 | 7.4600924170 | 0.0000016060
	7.4588251313 | 6.2258264100 | 1.5202858467
	7.4588251313 | 7.2867796727 | 0.0295996398
	7.4588251313 | 7.8728485409 | 0.1714153837
	7.4588251313 | 7.4791006440 | 0.0004110964
	7.4588251313 | 5.9852008852 | 2.1715684186
	7.4588251313 | 8.1243600493 | 0.4429367272
	7.4588251313 | 7.6608164711 | 0.0408005014
