Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 89,89,89
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 5.22758583504265228470
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.0127489267 | 0.3068315712
	7.4588251313 | 8.3487143209 | 0.7919027698
	7.4588251313 | 5.5371799113 | 3.6927203516
	7.4588251313 | 8.0416679089 | 0.3397057034
	7.4588251313 | 6.2666057152 | 1.4213871360
	7.4588251313 | 7.6927109079 | 0.0547025565
	7.4588251313 | 7.4848976566 | 0.0006797766
	7.4588251313 | 6.4028154515 | 1.1151564438
	7.4588251313 | 7.6487272319 | 0.0360628078
	7.4588251313 | 7.8458216110 | 0.1497662753
	7.4588251313 | 8.3070669841 | 0.7195142409
	7.4588251313 | 8.0737197107 | 0.3780953438
	7.4588251313 | 7.8240397525 | 0.1333817195
	7.4588251313 | 7.7735418577 | 0.0990466179
	7.4588251313 | 6.2959433536 | 1.3522940289
	7.4588251313 | 8.4168769602 | 0.9178633068
	7.4588251313 | 8.1264879715 | 0.4457736682
	7.4588251313 | 6.2940476439 | 1.3567065950
	7.4588251313 | 7.3440197966 | 0.0131802649
	7.4588251313 | 7.9883982887 | 0.2804477290
	7.4588251313 | 7.3566139157 | 0.0104471326
	7.4588251313 | 7.7252966036 | 0.0710070455
	7.4588251313 | 8.8744282901 | 2.0039323033
	7.4588251313 | 8.2627568587 | 0.6463062223
	7.4588251313 | 6.9776286404 | 0.2315500629
	7.4588251313 | 6.1312367252 | 1.7624909760
	7.4588251313 | 6.2270938633 | 1.5171619167
	7.4588251313 | 7.2493277412 | 0.0438891564
	7.4588251313 | 7.3594443163 | 0.0098765464
	7.4588251313 | 7.8874078623 | 0.1836831573
	7.4588251313 | 7.6887054062 | 0.0528449408
	7.4588251313 | 7.8089769138 | 0.1226062708
	7.4588251313 | 7.3661822820 | 0.0085826975
	7.4588251313 | 5.9513096827 | 2.2726028276
	7.4588251313 | 6.3750524456 | 1.1745632343
	7.4588251313 | 6.8303957175 | 0.3949235281
	7.4588251313 | 6.2760098615 | 1.3990519625
	7.4588251313 | 7.6494587691 | 0.0363411839
	7.4588251313 | 7.9672413348 | 0.2584870360
	7.4588251313 | 6.2250964111 | 1.5220865551
