Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 243,243,243
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.47484911895303483220
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.7719866108 | 8.2958159747
	3.6193580194 | 6.9619860418 | 11.1731620959
	14.8101968258 | 14.5249252690 | 0.0813798611
	95.6802585245 | 94.2158879329 | 2.1443812296
	80.7599408181 | 81.9283520639 | 1.3651848393
	151.9124776000 | 148.0893839613 | 14.6160449702
	38.1071303166 | 38.7362324378 | 0.3957694790
	60.5283449415 | 56.4555210878 | 16.5878941438
	15.7713610460 | 16.2258681347 | 0.2065766937
	26.9295441315 | 25.5584453687 | 1.8799118173
	45.3353975536 | 49.6812411733 | 18.8863567661
	26.9394855072 | 29.2996752623 | 5.5704956799
	18.7386443260 | 15.9000559567 | 8.0575839302
	12.9336643570 | 12.4764355892 | 0.2090581462
	14.2649027747 | 15.8313960270 | 2.4539011096
	41.8627761972 | 42.9144571733 | 1.1060328755
	23.8797765501 | 23.9544448430 | 0.0055753540
	13.8573527199 | 16.2653623934 | 5.7985105880
	14.6417113659 | 14.4295401619 | 0.0450166198
	7.6741391471 | 15.9880558322 | 69.1212106466
	21.0954875292 | 19.9585560033 | 1.2926132947
	7.3071484354 | 20.2124170971 | 166.5459592298
	8.1531554515 | 12.6844007534 | 20.5321839863
	17.5377826988 | 21.6012380539 | 16.5116694226
	16.0668745556 | 13.8550335890 | 4.8922404613
	12.1911370473 | 17.6808708070 | 30.1371767530
	8.8726714451 | 10.2463654919 | 1.8870353341
	11.2864427278 | 12.0761275811 | 0.6236021676
	10.1091975389 | 11.4998251601 | 1.9338451808
	8.0182772777 | 9.2753319303 | 1.5801863995
	14.6978954500 | 15.3719193310 | 0.4543081923
	6.2137733467 | 20.2124170971 | 195.9620268488
	18.2282702253 | 26.5854741960 | 69.8428582073
	10.7750992010 | 11.9885296530 | 1.4724134617
	10.2547250236 | 12.9052776826 | 7.0254293978
	5.8496227769 | 4.4931809770 | 1.8399343566
	7.5810516990 | 7.8685380757 | 0.0826484168
	8.4908655969 | 11.5412105132 | 9.3046041086
	6.0780658615 | 5.0907020028 | 0.9748873894
	7.0879116947 | 6.9390814490 | 0.0221504420
