Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 318,318,318
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.72987661027252404011
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.0383800917 | 2.0176641104
	7.4588251313 | 7.9413366410 | 0.2328173570
	7.4588251313 | 7.8106011848 | 0.1237463918
	7.4588251313 | 8.3034514724 | 0.7133936561
	7.4588251313 | 7.9764860046 | 0.2679727797
	7.4588251313 | 8.2745376331 | 0.6653868856
	7.4588251313 | 7.4365329800 | 0.0004969400
	7.4588251313 | 7.6040127155 | 0.0210794346
	7.4588251313 | 7.5837122506 | 0.0155967926
	7.4588251313 | 7.6600636391 | 0.0404969370
	7.4588251313 | 5.9000399964 | 2.4298110966
	7.4588251313 | 8.0358822248 | 0.3329948891
	7.4588251313 | 8.4075677854 | 0.9001126237
	7.4588251313 | 7.9014327564 | 0.1959015098
	7.4588251313 | 6.3365060795 | 1.2596000540
	7.4588251313 | 7.4352964212 | 0.0005536002
	7.4588251313 | 7.5256081451 | 0.0044599709
	7.4588251313 | 7.9583472805 | 0.2495223775
	7.4588251313 | 8.1678449947 | 0.5027091667
	7.4588251313 | 5.7211367777 | 3.0195608143
	7.4588251313 | 8.0532230006 | 0.3533088271
	7.4588251313 | 8.0369480967 | 0.3342261631
	7.4588251313 | 8.2636674480 | 0.6477711548
	7.4588251313 | 7.6909549982 | 0.0538842751
	7.4588251313 | 6.3614893010 | 1.2041459245
	7.4588251313 | 7.5869366082 | 0.0164125505
	7.4588251313 | 7.6740268118 | 0.0463117633
	7.4588251313 | 6.0356039471 | 2.0255585391
	7.4588251313 | 8.2129376914 | 0.5686857534
	7.4588251313 | 7.8642060485 | 0.1643336880
	7.4588251313 | 8.4106057094 | 0.9058862689
	7.4588251313 | 7.8623603165 | 0.1628406457
	7.4588251313 | 7.2025470560 | 0.0656784519
	7.4588251313 | 8.1616040863 | 0.4938982596
	7.4588251313 | 7.7501919800 | 0.0848946405
	7.4588251313 | 8.1258237914 | 0.4448872126
	7.4588251313 | 7.4451384001 | 0.0001873266
	7.4588251313 | 8.7692180926 | 1.7171297132
	7.4588251313 | 7.3614865723 | 0.0094747951
	7.4588251313 | 7.7387169100 | 0.0783394078
