Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 216,216,216
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.29452173358717459450
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.8274503652 | 7.9793937093
	3.6193580194 | 10.9964735365 | 54.4218333530
	14.8101968258 | 12.7301786285 | 4.3264757014
	95.6802585245 | 95.1568820659 | 0.2739229174
	80.7599408181 | 78.8632784032 | 3.5973283161
	151.9124776000 | 148.7619799241 | 9.9256356062
	38.1071303166 | 37.8037769008 | 0.0920232949
	60.5283449415 | 53.5986765951 | 48.0203033920
	15.7713610460 | 14.8304350338 | 0.8853417605
	26.9295441315 | 27.1197912283 | 0.0361939578
	45.3353975536 | 42.1709788303 | 10.0135458564
	26.9394855072 | 28.8155856483 | 3.5197517392
	18.7386443260 | 22.1069435000 | 11.3454393253
	12.9336643570 | 11.9281311284 | 1.0110970739
	14.2649027747 | 15.1335524336 | 0.7545522299
	41.8627761972 | 38.0105646431 | 14.8395338575
	23.8797765501 | 23.7679462455 | 0.0125060170
	13.8573527199 | 16.7079904932 | 8.1261357149
	14.6417113659 | 17.9088518094 | 10.6742066777
	7.6741391471 | 8.4465018679 | 0.5965441725
	21.0954875292 | 23.0631420349 | 3.8716642538
	7.3071484354 | 12.4905834874 | 26.8679989386
	8.1531554515 | 10.4552958207 | 5.2998502798
	17.5377826988 | 15.1523865489 | 5.6901147917
	16.0668745556 | 22.2675777938 | 38.4487206488
	12.1911370473 | 22.8152310555 | 112.8713734952
	8.8726714451 | 11.3478931416 | 6.1267224469
	11.2864427278 | 14.1470350180 | 8.1829882507
	10.1091975389 | 15.5470976658 | 29.5707577905
	8.0182772777 | 10.6542821419 | 6.9485216440
	14.6978954500 | 20.3579112336 | 32.0357786710
	6.2137733467 | 7.5271860415 | 1.7250529067
	18.2282702253 | 19.3363435690 | 1.2278265350
	10.7750992010 | 14.0881265822 | 10.9761504280
	10.2547250236 | 9.8577920822 | 0.1575557600
	5.8496227769 | 14.8398466716 | 80.8241256766
	7.5810516990 | 7.5271860415 | 0.0029015091
	8.4908655969 | 13.7882562631 | 28.0623478701
	6.0780658615 | 6.8424628903 | 0.5843028176
	7.0879116947 | 6.5426898346 | 0.2972668767
