Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 478,478,478
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.75744323867488194679
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.3827632214 | 0.0057854141
	7.4588251313 | 6.4051585943 | 1.1102131712
	7.4588251313 | 7.4026026207 | 0.0031609707
	7.4588251313 | 7.5627844861 | 0.0108075475
	7.4588251313 | 7.2881971883 | 0.0291138949
	7.4588251313 | 8.5550354244 | 1.2016770067
	7.4588251313 | 6.9564172318 | 0.2524136975
	7.4588251313 | 7.8326220404 | 0.1397241293
	7.4588251313 | 7.4263714715 | 0.0010532400
	7.4588251313 | 7.3436416027 | 0.0132672452
	7.4588251313 | 7.7871200684 | 0.1077775657
	7.4588251313 | 6.4853016625 | 0.9477479444
	7.4588251313 | 8.2558910655 | 0.6353141035
	7.4588251313 | 7.4650083618 | 0.0000382323
	7.4588251313 | 8.6606675098 | 1.4444251029
	7.4588251313 | 7.5751839301 | 0.0135393701
	7.4588251313 | 5.8251136206 | 2.6690133002
	7.4588251313 | 6.3308701552 | 1.2722824281
	7.4588251313 | 8.3308524513 | 0.7604316469
	7.4588251313 | 7.5328448367 | 0.0054789168
	7.4588251313 | 7.4389577872 | 0.0003947114
	7.4588251313 | 6.2989460178 | 1.3453195579
	7.4588251313 | 6.9496430615 | 0.2592663802
	7.4588251313 | 7.4113411762 | 0.0022547260
	7.4588251313 | 6.3749791270 | 1.1747221609
	7.4588251313 | 7.9384489302 | 0.2300389885
	7.4588251313 | 7.3117128351 | 0.0216420277
	7.4588251313 | 5.4636555469 | 3.9807016703
	7.4588251313 | 7.9895222911 | 0.2816394754
	7.4588251313 | 7.3338455422 | 0.0156198977
	7.4588251313 | 8.1040476391 | 0.4163120846
	7.4588251313 | 5.7864749720 | 2.7967550551
	7.4588251313 | 7.5100795538 | 0.0026270158
	7.4588251313 | 8.1569362366 | 0.4873591153
	7.4588251313 | 7.8893722571 | 0.1853708275
	7.4588251313 | 7.9831517384 | 0.2749183909
	7.4588251313 | 7.9789523458 | 0.2705323193
	7.4588251313 | 7.4925418562 | 0.0011368175
	7.4588251313 | 7.4262365614 | 0.0010620149
	7.4588251313 | 7.9710047914 | 0.2623280042
