Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 98,98,98
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.51047815419570330420
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.0124761870 | 0.3065294915
	7.4588251313 | 8.1518962521 | 0.4803475785
	7.4588251313 | 8.0966047156 | 0.4067627982
	7.4588251313 | 6.1137281410 | 1.8092859133
	7.4588251313 | 7.7198650935 | 0.0681418619
	7.4588251313 | 7.1595776469 | 0.0895490569
	7.4588251313 | 7.8547420940 | 0.1567502414
	7.4588251313 | 6.0617089960 | 1.9519334955
	7.4588251313 | 7.3443455837 | 0.0131055668
	7.4588251313 | 7.4574024545 | 0.0000020240
	7.4588251313 | 6.1072410951 | 1.8267794069
	7.4588251313 | 7.6349480016 | 0.0310192654
	7.4588251313 | 6.6215505819 | 0.7010286710
	7.4588251313 | 7.9231781312 | 0.2156237086
	7.4588251313 | 7.9616922068 | 0.2528752957
	7.4588251313 | 7.2795608817 | 0.0321356712
	7.4588251313 | 7.5825458952 | 0.0153068274
	7.4588251313 | 8.4737856505 | 1.0301448556
	7.4588251313 | 7.5964689659 | 0.0189458252
	7.4588251313 | 7.9478303298 | 0.2391260842
	7.4588251313 | 8.2224102771 | 0.5830622749
	7.4588251313 | 7.4399512825 | 0.0003562222
	7.4588251313 | 7.5448087406 | 0.0073931811
	7.4588251313 | 7.8884327311 | 0.1845626898
	7.4588251313 | 8.9251624341 | 2.1501450855
	7.4588251313 | 7.7135069362 | 0.0648628217
	7.4588251313 | 7.9514207523 | 0.2426504459
	7.4588251313 | 6.1476022791 | 1.7193053681
	7.4588251313 | 7.6686815891 | 0.0440397329
	7.4588251313 | 6.0994753838 | 1.8478317360
	7.4588251313 | 7.6667860898 | 0.0432477603
	7.4588251313 | 7.8033549424 | 0.1187007908
	7.4588251313 | 5.9888261033 | 2.1608971424
	7.4588251313 | 7.9499393114 | 0.2411931379
	7.4588251313 | 8.0338888557 | 0.3306982871
	7.4588251313 | 7.1191427463 | 0.1153841227
	7.4588251313 | 8.3114020584 | 0.7268874167
	7.4588251313 | 7.5041572558 | 0.0020550015
	7.4588251313 | 7.6323387449 | 0.0301069741
	7.4588251313 | 7.7514671461 | 0.0856393488
