Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 116,116,116
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.93337959390399305448
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.3138318060 | 0.1145149818
	3.6193580194 | 6.2363944984 | 6.8488799323
	14.8101968258 | 16.6951922336 | 3.5532076872
	95.6802585245 | 95.4423934920 | 0.0565797737
	80.7599408181 | 77.5042400926 | 10.5995872136
	151.9124776000 | 151.3046463758 | 0.3694587971
	38.1071303166 | 38.7583835714 | 0.4241308019
	60.5283449415 | 56.2268213500 | 18.5031052082
	15.7713610460 | 16.7725462684 | 1.0023718496
	26.9295441315 | 27.9581122265 | 1.0579523261
	45.3353975536 | 44.9549730902 | 0.1447227724
	26.9394855072 | 24.1104717915 | 8.0033186039
	18.7386443260 | 17.4185247460 | 1.7427157053
	12.9336643570 | 16.9552523052 | 16.1731696249
	14.2649027747 | 12.2994101104 | 3.8631614134
	41.8627761972 | 43.9242622665 | 4.2497248138
	23.8797765501 | 22.8892434437 | 0.9811558349
	13.8573527199 | 11.2856242982 | 6.6137870751
	14.6417113659 | 14.1792976097 | 0.2138264819
	7.6741391471 | 6.4896337170 | 1.4030531139
	21.0954875292 | 21.1602631855 | 0.0041958856
	7.3071484354 | 6.5036434780 | 0.6456202166
	8.1531554515 | 10.1793740366 | 4.1055617548
	17.5377826988 | 15.3727903285 | 4.6871919633
	16.0668745556 | 30.2317427304 | 200.6434904097
	12.1911370473 | 17.1415877872 | 24.5069625289
	8.8726714451 | 12.2577849790 | 11.4589936374
	11.2864427278 | 8.9951762117 | 5.2499022477
	10.1091975389 | 19.6628619568 | 91.2725038107
	8.0182772777 | 10.1390896212 | 4.4978449965
	14.6978954500 | 14.6553998048 | 0.0018058799
	6.2137733467 | 9.7341322749 | 12.3929269833
	18.2282702253 | 18.9674503445 | 0.5463872486
	10.7750992010 | 7.4453226326 | 11.0874119959
	10.2547250236 | 16.3569675320 | 37.2373636305
	5.8496227769 | 4.9302784785 | 0.8451939390
	7.5810516990 | 7.3353098656 | 0.0603890487
	8.4908655969 | 13.4765101864 | 24.8566519728
	6.0780658615 | 6.9695747873 | 0.7947881648
	7.0879116947 | 9.3520427140 | 5.1262892723
