Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 305,305,305
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.28391644931519177675
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.1052485523 | 1.8321695552
	7.4588251313 | 7.4901267755 | 0.0009797929
	7.4588251313 | 6.4035174744 | 1.1136742507
	7.4588251313 | 8.2200535823 | 0.5794687546
	7.4588251313 | 7.7714633418 | 0.0977426507
	7.4588251313 | 7.8493923264 | 0.1525427339
	7.4588251313 | 7.8393606880 | 0.1448073099
	7.4588251313 | 7.4572766315 | 0.0000023979
	7.4588251313 | 8.2147211692 | 0.5713788201
	7.4588251313 | 6.6684524032 | 0.6246890493
	7.4588251313 | 7.9083958043 | 0.2021137900
	7.4588251313 | 7.2448925711 | 0.0457671403
	7.4588251313 | 7.3459571679 | 0.0127391772
	7.4588251313 | 7.4368808131 | 0.0004815531
	7.4588251313 | 7.9872102434 | 0.2791908267
	7.4588251313 | 8.1265710293 | 0.4458845843
	7.4588251313 | 5.7372592598 | 2.9637890498
	7.4588251313 | 8.2528543470 | 0.6304823954
	7.4588251313 | 8.0637248892 | 0.3659037172
	7.4588251313 | 7.7738090226 | 0.0992148518
	7.4588251313 | 7.6629706122 | 0.0416753774
	7.4588251313 | 7.9912555868 | 0.2834821899
	7.4588251313 | 7.9851007026 | 0.2769659769
	7.4588251313 | 7.5297228221 | 0.0050264826
	7.4588251313 | 7.6472470612 | 0.0355028237
	7.4588251313 | 8.4032499646 | 0.8919382659
	7.4588251313 | 7.6589864008 | 0.0400645338
	7.4588251313 | 7.4225576395 | 0.0013153310
	7.4588251313 | 7.9949420737 | 0.2874213759
	7.4588251313 | 7.8580039977 | 0.1593437674
	7.4588251313 | 7.7775223332 | 0.1015679065
	7.4588251313 | 7.8850883572 | 0.1817003378
	7.4588251313 | 7.9098198834 | 0.2033962664
	7.4588251313 | 8.3973481164 | 0.8808253936
	7.4588251313 | 7.5948367004 | 0.0184991469
	7.4588251313 | 6.0230939831 | 2.0613239298
	7.4588251313 | 7.9174878723 | 0.2103715100
	7.4588251313 | 8.3009362216 | 0.7091510883
	7.4588251313 | 7.9126593826 | 0.2059655277
	7.4588251313 | 6.1965333614 | 1.5933805124
