Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 54,54,54
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.49471620473451682898
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.1586788460 | 0.0900877926
	7.4588251313 | 8.0618019314 | 0.3635810215
	7.4588251313 | 6.2086503659 | 1.5629369439
	7.4588251313 | 8.1364186070 | 0.4591329184
	7.4588251313 | 7.3369579846 | 0.0148516014
	7.4588251313 | 8.3601904309 | 0.8124594033
	7.4588251313 | 7.3848096766 | 0.0054782875
	7.4588251313 | 6.6013799392 | 0.7352122575
	7.4588251313 | 6.6798085210 | 0.6068668790
	7.4588251313 | 7.6675207428 | 0.0435538583
	7.4588251313 | 7.7748779124 | 0.0998893605
	7.4588251313 | 7.4839769089 | 0.0006326119
	7.4588251313 | 7.2127157447 | 0.0605698302
	7.4588251313 | 8.1958568290 | 0.5432157235
	7.4588251313 | 7.8355189689 | 0.1418982473
	7.4588251313 | 7.9782747466 | 0.2698279029
	7.4588251313 | 7.9149523651 | 0.2080520534
	7.4588251313 | 6.2752184951 | 1.4009246691
	7.4588251313 | 7.5181359227 | 0.0035177700
	7.4588251313 | 8.4538696718 | 0.9901136376
	7.4588251313 | 6.4857405917 | 0.9468935212
	7.4588251313 | 7.8762145813 | 0.1742139530
	7.4588251313 | 7.7395384887 | 0.0787999890
	7.4588251313 | 8.1666807334 | 0.5010595535
	7.4588251313 | 8.0637466448 | 0.3659300375
	7.4588251313 | 6.5149609128 | 0.8908796630
	7.4588251313 | 6.1763490919 | 1.6447447915
	7.4588251313 | 7.8161480660 | 0.1276796797
	7.4588251313 | 7.2737367797 | 0.0342576979
	7.4588251313 | 7.5483364956 | 0.0080122843
	7.4588251313 | 5.9350511148 | 2.3218872534
	7.4588251313 | 7.7128129129 | 0.0645097932
	7.4588251313 | 7.5986055067 | 0.0195385533
	7.4588251313 | 7.9369378783 | 0.2285917988
	7.4588251313 | 7.2413650008 | 0.0472889084
	7.4588251313 | 7.3739549792 | 0.0072029427
	7.4588251313 | 5.7991013512 | 2.7546830262
	7.4588251313 | 8.0551332195 | 0.3555833361
	7.4588251313 | 6.3613942117 | 1.2043546233
	7.4588251313 | 7.3423794985 | 0.0135595854
