Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 78,78,78
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.91360122507053986851
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.6931643528 | 8.7560838812
	3.6193580194 | 9.3199793964 | 32.4970840844
	14.8101968258 | 24.6218071869 | 96.2676978769
	95.6802585245 | 91.9110331160 | 14.2070601801
	80.7599408181 | 80.0828942248 | 0.4583920894
	151.9124776000 | 150.0712561772 | 3.3900963277
	38.1071303166 | 37.7601103501 | 0.1204228571
	60.5283449415 | 58.9595286723 | 2.4611844867
	15.7713610460 | 12.4237301553 | 11.2066325802
	26.9295441315 | 22.5116685003 | 19.5176250925
	45.3353975536 | 39.7301178163 | 31.4191609336
	26.9394855072 | 25.0626360503 | 3.5225638839
	18.7386443260 | 14.5980068872 | 17.1448783996
	12.9336643570 | 13.1939228098 | 0.0677344623
	14.2649027747 | 23.0985468197 | 78.0332671135
	41.8627761972 | 42.1270633106 | 0.0698476783
	23.8797765501 | 24.0898722710 | 0.0441402119
	13.8573527199 | 12.7689321268 | 1.1846593875
	14.6417113659 | 13.9774839346 | 0.4411980805
	7.6741391471 | 20.4253914200 | 162.5944345261
	21.0954875292 | 17.9643978391 | 9.8037226478
	7.3071484354 | 6.8781263243 | 0.1840599718
	8.1531554515 | 8.0770696205 | 0.0057890537
	17.5377826988 | 16.6196516113 | 0.8429646938
	16.0668745556 | 14.8510363029 | 1.4782626567
	12.1911370473 | 11.3019559866 | 0.7906429586
	8.8726714451 | 8.6934951911 | 0.0321041300
	11.2864427278 | 17.2700254586 | 35.8032622959
	10.1091975389 | 8.7134966939 | 1.9479808487
	8.0182772777 | 9.7236195360 | 2.9081922180
	14.6978954500 | 17.9850773985 | 10.8055651627
	6.2137733467 | 11.4260792890 | 27.1681332363
	18.2282702253 | 16.4537608447 | 3.1488835421
	10.7750992010 | 13.2970723347 | 6.3603484867
	10.2547250236 | 16.0481268905 | 33.5635051909
	5.8496227769 | 8.9554099128 | 9.6459137333
	7.5810516990 | 13.4166516176 | 34.0542264109
	8.4908655969 | 11.6763673579 | 10.1474214696
	6.0780658615 | 12.8120741769 | 45.3468679928
	7.0879116947 | 9.7146815873 | 6.8999200685
