Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 110,110,110
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 18.16480289974721884505
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 43.0263554725 | 6.8952297921
	3.6193580194 | 7.0406364103 | 11.7051458281
	14.8101968258 | 14.7589254374 | 0.0026287553
	95.6802585245 | 91.6032479267 | 16.6220154146
	80.7599408181 | 80.7689222203 | 0.0000806656
	151.9124776000 | 153.1524056999 | 1.5374216929
	38.1071303166 | 37.2420365730 | 0.7483871852
	60.5283449415 | 58.4831161647 | 4.1829607496
	15.7713610460 | 25.2488407114 | 89.8226208086
	26.9295441315 | 24.4126262493 | 6.3348756257
	45.3353975536 | 43.8097878475 | 2.3274849755
	26.9394855072 | 28.7406258901 | 3.2441066789
	18.7386443260 | 18.8991233342 | 0.0257535121
	12.9336643570 | 16.6143540612 | 13.5474766982
	14.2649027747 | 14.1373235881 | 0.0162764488
	41.8627761972 | 38.1892671333 | 13.4946688430
	23.8797765501 | 24.3767696389 | 0.2470021303
	13.8573527199 | 16.3463368596 | 6.1950420479
	14.6417113659 | 15.6998424555 | 1.1196414028
	7.6741391471 | 9.7112819327 | 4.1499507289
	21.0954875292 | 20.4244388422 | 0.4503063404
	7.3071484354 | 8.7420334363 | 2.0588949659
	8.1531554515 | 10.1900480651 | 4.1489315196
	17.5377826988 | 13.5836642625 | 15.6350526085
	16.0668745556 | 15.9020614433 | 0.0271633620
	12.1911370473 | 17.8308089999 | 31.8058997329
	8.8726714451 | 9.8445416045 | 0.9445316067
	11.2864427278 | 12.3662897903 | 1.1660696783
	10.1091975389 | 13.7067040033 | 12.9420527618
	8.0182772777 | 11.6806909268 | 13.4132737370
	14.6978954500 | 14.1599370698 | 0.2893992188
	6.2137733467 | 3.3214879060 | 8.3653150704
	18.2282702253 | 20.3806208584 | 4.6326132478
	10.7750992010 | 12.1971122080 | 2.0221209918
	10.2547250236 | 11.0766095909 | 0.6754942420
	5.8496227769 | 10.2403578992 | 19.2785549146
	7.5810516990 | 12.3662897903 | 22.8985035904
	8.4908655969 | 6.7059330697 | 3.1859841267
	6.0780658615 | 6.4334935470 | 0.1263288396
	7.0879116947 | 9.0048894847 | 3.6748038473
