Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 404,404,404
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.26237672594180949659
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.3155911359 | 0.7340479866
	7.4588251313 | 7.8170996020 | 0.1283605964
	7.4588251313 | 8.1454394591 | 0.4714392351
	7.4588251313 | 8.0512094717 | 0.3509192068
	7.4588251313 | 7.6170780024 | 0.0250439712
	7.4588251313 | 8.1600069593 | 0.4916559560
	7.4588251313 | 6.1679398722 | 1.6663847521
	7.4588251313 | 8.1430158005 | 0.4681168718
	7.4588251313 | 7.7004195996 | 0.0583678871
	7.4588251313 | 6.4342438192 | 1.0497668651
	7.4588251313 | 7.6288916022 | 0.0289226045
	7.4588251313 | 8.2783943171 | 0.6716936503
	7.4588251313 | 7.5893248652 | 0.0170301805
	7.4588251313 | 8.1165179901 | 0.4325598965
	7.4588251313 | 7.5887410047 | 0.0168781342
	7.4588251313 | 7.9742919166 | 0.2657060068
	7.4588251313 | 6.6604850274 | 0.6373469215
	7.4588251313 | 8.2578503874 | 0.6384413600
	7.4588251313 | 6.6697014189 | 0.6227162334
	7.4588251313 | 7.8562086761 | 0.1579136817
	7.4588251313 | 7.7981453668 | 0.1151382222
	7.4588251313 | 8.2743958064 | 0.6651555262
	7.4588251313 | 6.7790327550 | 0.4621176749
	7.4588251313 | 7.2210558612 | 0.0565342258
	7.4588251313 | 7.7577187545 | 0.0893373980
	7.4588251313 | 7.6964047970 | 0.0564440976
	7.4588251313 | 7.5342381962 | 0.0056871304
	7.4588251313 | 8.0351404334 | 0.3321393275
	7.4588251313 | 8.3915304526 | 0.8699392165
	7.4588251313 | 8.1973132446 | 0.5453646935
	7.4588251313 | 6.1771704989 | 1.6426385967
	7.4588251313 | 7.5751359126 | 0.0135281979
	7.4588251313 | 7.3816966001 | 0.0059488103
	7.4588251313 | 8.2158541467 | 0.5730929302
	7.4588251313 | 7.4400676934 | 0.0003518415
	7.4588251313 | 8.1238430506 | 0.4422488331
	7.4588251313 | 7.9012630039 | 0.1957512712
	7.4588251313 | 8.2333762123 | 0.5999293770
	7.4588251313 | 6.3474284416 | 1.2352026018
	7.4588251313 | 6.3064391785 | 1.3279933843
