Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 457,457,457
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.52656959214497245370
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.4276029217 | 0.9385304072
	7.4588251313 | 7.7685570426 | 0.0959338569
	7.4588251313 | 7.7754801903 | 0.1002704264
	7.4588251313 | 6.8766689018 | 0.3389058755
	7.4588251313 | 6.5219467090 | 0.8777411782
	7.4588251313 | 7.9009210926 | 0.1954488390
	7.4588251313 | 8.2226903305 | 0.5834900426
	7.4588251313 | 8.2248412962 | 0.5867807650
	7.4588251313 | 6.3360606026 | 1.2606001869
	7.4588251313 | 7.6071107294 | 0.0219886186
	7.4588251313 | 7.6154035947 | 0.0245168152
	7.4588251313 | 7.5740255017 | 0.0132711253
	7.4588251313 | 7.7305432236 | 0.0738307217
	7.4588251313 | 7.8522039890 | 0.1547469257
	7.4588251313 | 7.9858819467 | 0.2777888867
	7.4588251313 | 5.9564196550 | 2.2572222151
	7.4588251313 | 7.8042639300 | 0.1193279637
	7.4588251313 | 7.4491305215 | 0.0000939855
	7.4588251313 | 7.8419721085 | 0.1468016061
	7.4588251313 | 8.2010662333 | 0.5509218536
	7.4588251313 | 7.5049451666 | 0.0021270577
	7.4588251313 | 8.2111264072 | 0.5659572098
	7.4588251313 | 7.6422747435 | 0.0336537602
	7.4588251313 | 7.5844746947 | 0.0157878128
	7.4588251313 | 7.8747751869 | 0.1730144488
	7.4588251313 | 8.6197127114 | 1.3476599737
	7.4588251313 | 8.0477469999 | 0.3468289673
	7.4588251313 | 8.7042089608 | 1.5509808828
	7.4588251313 | 7.5821793784 | 0.0152162703
	7.4588251313 | 8.1858215593 | 0.5285238064
	7.4588251313 | 6.1095045590 | 1.8206660069
	7.4588251313 | 8.1068946935 | 0.4199941575
	7.4588251313 | 6.0000858641 | 2.1279202497
	7.4588251313 | 8.0981379949 | 0.4087209375
	7.4588251313 | 8.2066914904 | 0.5593040911
	7.4588251313 | 8.2116805075 | 0.5667912175
	7.4588251313 | 7.5922557365 | 0.0178037264
	7.4588251313 | 8.3374560801 | 0.7719923442
	7.4588251313 | 8.1754739605 | 0.5135855445
	7.4588251313 | 7.7505296267 | 0.0850915127
