Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 137,137,137
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.64223254215929870270
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.0050865695 | 2.1133558060
	7.4588251313 | 8.1629928349 | 0.4958521548
	7.4588251313 | 7.4162091517 | 0.0018161217
	7.4588251313 | 7.6378348668 | 0.0320444854
	7.4588251313 | 7.5166946163 | 0.0033488773
	7.4588251313 | 7.2065033127 | 0.0636663001
	7.4588251313 | 7.6529192479 | 0.0376725261
	7.4588251313 | 6.4018325464 | 1.1172333244
	7.4588251313 | 7.9520940422 | 0.2433142184
	7.4588251313 | 6.0847125111 | 1.8881854930
	7.4588251313 | 7.7152154142 | 0.0657359772
	7.4588251313 | 7.3145675675 | 0.0208102447
	7.4588251313 | 7.7339428863 | 0.0756897791
	7.4588251313 | 6.7499604147 | 0.5024891865
	7.4588251313 | 7.7961260999 | 0.1137719434
	7.4588251313 | 7.8151173657 | 0.1269441563
	7.4588251313 | 5.7875752705 | 2.7930760972
	7.4588251313 | 7.5273005742 | 0.0046888863
	7.4588251313 | 7.4456377312 | 0.0001739075
	7.4588251313 | 7.7967903511 | 0.1142204898
	7.4588251313 | 7.1583595694 | 0.0902795539
	7.4588251313 | 6.2622588214 | 1.4317709340
	7.4588251313 | 8.4312474230 | 0.9456051135
	7.4588251313 | 7.5699348842 | 0.0123453772
	7.4588251313 | 8.0377000871 | 0.3350962144
	7.4588251313 | 7.7217353134 | 0.0691217639
	7.4588251313 | 7.4178341417 | 0.0016802612
	7.4588251313 | 7.3532443409 | 0.0111473033
	7.4588251313 | 8.0658218434 | 0.3684450086
	7.4588251313 | 5.9672461750 | 2.2248077827
	7.4588251313 | 7.9702255553 | 0.2615303936
	7.4588251313 | 6.0850480771 | 1.8872633946
	7.4588251313 | 6.2269550536 | 1.5175038882
	7.4588251313 | 7.6741466757 | 0.0463633675
	7.4588251313 | 7.8701176643 | 0.1691615477
	7.4588251313 | 7.1568254124 | 0.0912038302
	7.4588251313 | 7.7006299073 | 0.0584695497
	7.4588251313 | 7.9744165782 | 0.2658345401
	7.4588251313 | 6.0630033503 | 1.9483184443
	7.4588251313 | 7.4756991225 | 0.0002847316
