Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 343,343,343
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 21.06024392784631515951
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.7913850966 | 1.2976687995
	3.6193580194 | 6.9821117457 | 11.3081126240
	14.8101968258 | 13.7318494683 | 1.1628330234
	95.6802585245 | 93.6373527541 | 4.1734639866
	80.7599408181 | 77.4276501141 | 11.1041613357
	151.9124776000 | 149.9577266476 | 3.8210512859
	38.1071303166 | 36.4661736369 | 2.6927388244
	60.5283449415 | 60.1723624548 | 0.1267235308
	15.7713610460 | 16.3450541256 | 0.3291237496
	26.9295441315 | 25.0566942279 | 3.5075667612
	45.3353975536 | 47.6981479349 | 5.5825893640
	26.9394855072 | 23.8594002383 | 9.4869252637
	18.7386443260 | 19.8072022367 | 1.1418160086
	12.9336643570 | 20.5219976906 | 57.5828027817
	14.2649027747 | 12.4637249541 | 3.2442415413
	41.8627761972 | 43.3398102545 | 2.1816296062
	23.8797765501 | 22.2251196643 | 2.7378894096
	13.8573527199 | 18.9339698455 | 25.7720414400
	14.6417113659 | 13.6819977969 | 0.9210501345
	7.6741391471 | 9.3035338454 | 2.6549270829
	21.0954875292 | 22.3480085185 | 1.5688088286
	7.3071484354 | 13.6537576230 | 40.2794481802
	8.1531554515 | 9.3035338454 | 1.3233704493
	17.5377826988 | 17.7247191392 | 0.0349452327
	16.0668745556 | 20.5219976906 | 19.8481221486
	12.1911370473 | 13.7385511102 | 2.3944902823
	8.8726714451 | 11.1267068681 | 5.0806756879
	11.2864427278 | 12.4907158291 | 1.4502737024
	10.1091975389 | 19.3339816962 | 85.0966427490
	8.0182772777 | 6.7451980754 | 1.6207306554
	14.6978954500 | 14.6359549866 | 0.0038366210
	6.2137733467 | 14.2925265848 | 65.2662538826
	18.2282702253 | 16.1997839716 | 4.1147564816
	10.7750992010 | 9.6968551728 | 1.1626101844
	10.2547250236 | 10.2944409624 | 0.0015773558
	5.8496227769 | 7.9950026095 | 4.6026546262
	7.5810516990 | 10.6633038753 | 9.5002784786
	8.4908655969 | 6.8421039559 | 2.7184149486
	6.0780658615 | 10.9990547824 | 24.2161319598
	7.0879116947 | 11.8229402365 | 22.4204952915
