Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 245,245,245
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.60096522874595947883
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.8041681443 | 0.0230844615
	3.6193580194 | 10.1647395396 | 42.8420192451
	14.8101968258 | 15.1835882248 | 0.1394211368
	95.6802585245 | 97.1650178797 | 2.2045103428
	80.7599408181 | 79.5511493498 | 1.4611768137
	151.9124776000 | 146.2375862279 | 32.2043920847
	38.1071303166 | 35.5761892917 | 6.4056624715
	60.5283449415 | 55.5943078568 | 24.3447219538
	15.7713610460 | 13.7332886165 | 4.1537392280
	26.9295441315 | 28.4061792063 | 2.1804511443
	45.3353975536 | 44.8385101312 | 0.2468971106
	26.9394855072 | 27.2840771743 | 0.1187434170
	18.7386443260 | 17.5631671064 | 1.3817466937
	12.9336643570 | 13.5456030704 | 0.3744689889
	14.2649027747 | 15.3121521303 | 1.0967312128
	41.8627761972 | 35.2299703907 | 43.9941128667
	23.8797765501 | 24.1833698637 | 0.0921689000
	13.8573527199 | 26.3459061878 | 155.9639677205
	14.6417113659 | 15.4275896325 | 0.6176046500
	7.6741391471 | 9.8604501444 | 4.7799557770
	21.0954875292 | 19.4990759982 | 2.5485297765
	7.3071484354 | 11.4108964221 | 16.8407475382
	8.1531554515 | 14.5661996246 | 41.1271355673
	17.5377826988 | 17.2982435666 | 0.0573789958
	16.0668745556 | 18.6679948219 | 6.7658266400
	12.1911370473 | 15.7978250668 | 13.0081984699
	8.8726714451 | 8.5301398919 | 0.1173278650
	11.2864427278 | 11.9814807209 | 0.4830778118
	10.1091975389 | 19.4670116088 | 87.5686841678
	8.0182772777 | 14.4943024591 | 41.9389021504
	14.6978954500 | 14.6029313203 | 0.0090181859
	6.2137733467 | 10.2116158737 | 15.9827448701
	18.2282702253 | 17.4155353715 | 0.6605379426
	10.7750992010 | 9.3623845162 | 1.9957627808
	10.2547250236 | 11.5222969591 | 1.6067386117
	5.8496227769 | 6.9874368781 | 1.2946209290
	7.5810516990 | 11.7629182742 | 17.4880080535
	8.4908655969 | 10.1406717092 | 2.7218602082
	6.0780658615 | 11.0803380550 | 25.0227270985
	7.0879116947 | 8.9165960041 | 3.3440863034
