Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 204,204,204
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.36041740110202447056
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.6102672849 | 0.0229347259
	7.4588251313 | 7.7106136921 | 0.0633974793
	7.4588251313 | 6.1225462962 | 1.7856411251
	7.4588251313 | 7.3518658266 | 0.0114402929
	7.4588251313 | 6.7146725255 | 0.5537631006
	7.4588251313 | 7.2009011595 | 0.0665247752
	7.4588251313 | 7.9081021138 | 0.2018498070
	7.4588251313 | 5.9099106662 | 2.3991360202
	7.4588251313 | 7.4027482316 | 0.0031446187
	7.4588251313 | 7.7682070334 | 0.0957171614
	7.4588251313 | 7.5491321239 | 0.0081553529
	7.4588251313 | 7.7732961668 | 0.0988920322
	7.4588251313 | 8.3282171149 | 0.7558424211
	7.4588251313 | 7.5894255108 | 0.0170564591
	7.4588251313 | 7.4973772967 | 0.0014862695
	7.4588251313 | 7.3067290615 | 0.0231332144
	7.4588251313 | 7.8084772555 | 0.1222566080
	7.4588251313 | 7.4506406236 | 0.0000669862
	7.4588251313 | 6.2754953010 | 1.4002694872
	7.4588251313 | 7.7664715190 | 0.0946462998
	7.4588251313 | 7.3743838887 | 0.0071303234
	7.4588251313 | 7.4862131641 | 0.0007501043
	7.4588251313 | 6.6884725664 | 0.5934430742
	7.4588251313 | 7.5019041225 | 0.0018557995
	7.4588251313 | 7.7834459302 | 0.1053786631
	7.4588251313 | 7.5121093091 | 0.0028392036
	7.4588251313 | 8.0301509333 | 0.3264131721
	7.4588251313 | 5.6148416391 | 3.4002751193
	7.4588251313 | 7.8205289864 | 0.1308296788
	7.4588251313 | 8.2592979336 | 0.6407567073
	7.4588251313 | 8.3628936985 | 0.8173399742
	7.4588251313 | 7.5140353725 | 0.0030481707
	7.4588251313 | 6.8366939799 | 0.3870471695
	7.4588251313 | 6.0051610024 | 2.1131393997
	7.4588251313 | 6.0728742239 | 1.9208599175
	7.4588251313 | 7.6032824003 | 0.0208679026
	7.4588251313 | 8.0496283003 | 0.3490483845
	7.4588251313 | 6.7861119882 | 0.4525429729
	7.4588251313 | 7.3734675072 | 0.0072859240
	7.4588251313 | 7.5426941586 | 0.0070340137
