Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 323,323,323
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.39949645659943300302
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.9250013881 | 0.2173203024
	7.4588251313 | 6.2310950449 | 1.5073211651
	7.4588251313 | 7.8581223458 | 0.1594382655
	7.4588251313 | 6.8119324992 | 0.4184700775
	7.4588251313 | 6.8067679995 | 0.4251785031
	7.4588251313 | 7.3484038055 | 0.0121928692
	7.4588251313 | 7.6872620006 | 0.0521834033
	7.4588251313 | 6.9410911879 | 0.2680484361
	7.4588251313 | 8.2502327284 | 0.6263259848
	7.4588251313 | 6.4117201737 | 1.0964287923
	7.4588251313 | 8.2741744938 | 0.6647945830
	7.4588251313 | 7.6479284958 | 0.0357600825
	7.4588251313 | 8.1210045631 | 0.4384815999
	7.4588251313 | 7.4056769677 | 0.0028247273
	7.4588251313 | 7.9961453952 | 0.2887130660
	7.4588251313 | 8.0744005930 | 0.3789331490
	7.4588251313 | 7.3002613236 | 0.0251424811
	7.4588251313 | 8.6242545682 | 1.3582257724
	7.4588251313 | 7.5355656705 | 0.0058891104
	7.4588251313 | 8.5690384202 | 1.2325735469
	7.4588251313 | 7.7817521207 | 0.1042818405
	7.4588251313 | 7.4146674599 | 0.0019498999
	7.4588251313 | 7.0454034836 | 0.1709174588
	7.4588251313 | 7.2799556926 | 0.0319942761
	7.4588251313 | 7.8953596017 | 0.1905623438
	7.4588251313 | 7.3862560052 | 0.0052662781
	7.4588251313 | 6.5973876886 | 0.7420744677
	7.4588251313 | 6.7970731796 | 0.4379156455
	7.4588251313 | 8.0852134253 | 0.3923622949
	7.4588251313 | 6.5680171818 | 0.7935388029
	7.4588251313 | 6.1668924505 | 1.6690900517
	7.4588251313 | 7.9456358934 | 0.2369847181
	7.4588251313 | 8.6848302181 | 1.5030884728
	7.4588251313 | 8.4014360691 | 0.8885153801
	7.4588251313 | 7.1235944656 | 0.1123795992
	7.4588251313 | 7.6783135875 | 0.0481751824
	7.4588251313 | 8.4149823925 | 0.9142367082
	7.4588251313 | 7.2864132450 | 0.0297258585
	7.4588251313 | 6.2799984742 | 1.3896322874
	7.4588251313 | 8.1506571828 | 0.4786315876
