Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 459,459,459
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 25.89386739335422049635
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 43.0123055236 | 6.9692140674
	3.6193580194 | 7.0975043273 | 12.0975017389
	14.8101968258 | 18.5179572875 | 13.7474876411
	95.6802585245 | 91.3988719442 | 18.3302710496
	80.7599408181 | 75.1078859509 | 31.9457242212
	151.9124776000 | 154.2482909611 | 5.4560240576
	38.1071303166 | 31.8939825184 | 38.6032055618
	60.5283449415 | 55.0386879988 | 30.1363333487
	15.7713610460 | 16.9914950951 | 1.4887270978
	26.9295441315 | 26.6076170034 | 0.1036370758
	45.3353975536 | 46.0896867656 | 0.5689522153
	26.9394855072 | 26.9257395451 | 0.0001889515
	18.7386443260 | 17.2987613482 | 2.0732629896
	12.9336643570 | 28.0489350433 | 228.4714079181
	14.2649027747 | 16.5093373539 | 5.0374865802
	41.8627761972 | 42.4002032120 | 0.2888277962
	23.8797765501 | 21.1970150176 | 7.1972094405
	13.8573527199 | 24.7853763582 | 119.4217006407
	14.6417113659 | 13.6092292828 | 1.0660192519
	7.6741391471 | 9.5848648200 | 3.6508725970
	21.0954875292 | 22.1049893408 | 1.0190939075
	7.3071484354 | 10.8445907354 | 12.5134980259
	8.1531554515 | 7.9748842852 | 0.0317806087
	17.5377826988 | 16.7704028761 | 0.5888717923
	16.0668745556 | 19.2119648372 | 9.8915928794
	12.1911370473 | 17.6359514855 | 29.6460042670
	8.8726714451 | 8.6839828629 | 0.0356033811
	11.2864427278 | 16.6479604492 | 28.7458722770
	10.1091975389 | 15.8695217783 | 33.1813353434
	8.0182772777 | 10.0301198332 | 4.0475104681
	14.6978954500 | 13.8241595445 | 0.7634144324
	6.2137733467 | 8.5017444155 | 5.2348116115
	18.2282702253 | 18.1549245947 | 0.0053795815
	10.7750992010 | 10.2405162565 | 0.2857789246
	10.2547250236 | 10.0301198332 | 0.0504474916
	5.8496227769 | 8.3811073949 | 6.4084143715
	7.5810516990 | 9.3428864389 | 3.1040616509
	8.4908655969 | 10.6543523036 | 4.6806747300
	6.0780658615 | 7.7673654011 | 2.8537329345
	7.0879116947 | 7.9541885932 | 0.7504356647
