Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 386,386,386
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.65380274327238119270
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.2432738020 | 0.6153597171
	7.4588251313 | 7.4888530625 | 0.0009016767
	7.4588251313 | 6.7184445319 | 0.5481634320
	7.4588251313 | 8.0635473783 | 0.3656889961
	7.4588251313 | 8.0351591192 | 0.3321608656
	7.4588251313 | 7.9183104130 | 0.2111267242
	7.4588251313 | 6.0826084133 | 1.8939724549
	7.4588251313 | 8.1607402648 | 0.4926848547
	7.4588251313 | 7.2133817851 | 0.0602424362
	7.4588251313 | 7.7277900712 | 0.0723421389
	7.4588251313 | 6.4390387859 | 1.0399641902
	7.4588251313 | 7.7794173489 | 0.1027793700
	7.4588251313 | 7.7685997289 | 0.0959603013
	7.4588251313 | 8.2971920105 | 0.7028590242
	7.4588251313 | 7.7395913451 | 0.0788296668
	7.4588251313 | 7.7416312393 | 0.0799792947
	7.4588251313 | 8.3581527280 | 0.8087901261
	7.4588251313 | 6.9482911943 | 0.2606449008
	7.4588251313 | 8.0048474426 | 0.2981403644
	7.4588251313 | 7.4322196412 | 0.0007078521
	7.4588251313 | 7.6766164702 | 0.0474330673
	7.4588251313 | 8.1424032826 | 0.4672790889
	7.4588251313 | 8.1554902235 | 0.4853422507
	7.4588251313 | 7.4777061330 | 0.0003564922
	7.4588251313 | 7.9710447498 | 0.2623689376
	7.4588251313 | 7.9312970582 | 0.2232297217
	7.4588251313 | 7.3021167172 | 0.0245575271
	7.4588251313 | 8.4719101686 | 1.0263412928
	7.4588251313 | 7.4529526198 | 0.0000344864
	7.4588251313 | 7.0840930397 | 0.1404241405
	7.4588251313 | 7.4746779802 | 0.0002513128
	7.4588251313 | 6.1295328284 | 1.7670180265
	7.4588251313 | 8.0704673075 | 0.3741061518
	7.4588251313 | 7.1414148512 | 0.1007492859
	7.4588251313 | 6.6627362406 | 0.6337575219
	7.4588251313 | 6.0707657337 | 1.9267088911
	7.4588251313 | 7.7534070723 | 0.0867785200
	7.4588251313 | 5.7530769861 | 2.9095767349
	7.4588251313 | 5.7684216346 | 2.8574639817
	7.4588251313 | 7.9714694080 | 0.2628041545
