Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 373,373,373
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 25.65812369704188000696
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.7187490250 | 0.8713912661
	3.6193580194 | 7.0699654475 | 11.9066916231
	14.8101968258 | 20.1512841365 | 28.5272136606
	95.6802585245 | 93.3768504060 | 5.3056889601
	80.7599408181 | 81.0431551256 | 0.0802103440
	151.9124776000 | 150.8477289080 | 1.1336897771
	38.1071303166 | 34.7107294920 | 11.5355385611
	60.5283449415 | 57.1725754996 | 11.2611885475
	15.7713610460 | 15.6922975537 | 0.0062510358
	26.9295441315 | 28.0223826098 | 1.1942959397
	45.3353975536 | 42.4245886649 | 8.4728083871
	26.9394855072 | 26.2223402125 | 0.5142973738
	18.7386443260 | 20.8289741066 | 4.3694785917
	12.9336643570 | 17.0224413039 | 16.7180969213
	14.2649027747 | 13.4212107414 | 0.7118162471
	41.8627761972 | 40.7145907396 | 1.3183298452
	23.8797765501 | 22.3961163660 | 2.2012475420
	13.8573527199 | 15.1437697515 | 1.6548687792
	14.6417113659 | 16.3072306501 | 2.7739544860
	7.6741391471 | 7.5478686621 | 0.0159442354
	21.0954875292 | 20.0160365869 | 1.1652143368
	7.3071484354 | 20.1649170850 | 165.3222146465
	8.1531554515 | 11.1800032922 | 9.1618078511
	17.5377826988 | 12.4590109345 | 25.7939226338
	16.0668745556 | 17.0224413039 | 0.9131078105
	12.1911370473 | 13.4527056941 | 1.5915554507
	8.8726714451 | 7.2879584204 | 2.5113153707
	11.2864427278 | 11.2535075694 | 0.0010847247
	10.1091975389 | 8.1017866355 | 4.0296985349
	8.0182772777 | 16.3284532949 | 69.0590254374
	14.6978954500 | 21.4756569423 | 45.9380508469
	6.2137733467 | 7.5478686621 | 1.7798103105
	18.2282702253 | 17.0047954652 | 1.4968904888
	10.7750992010 | 14.4641616179 | 13.6091815157
	10.2547250236 | 17.9625386291 | 59.4103905761
	5.8496227769 | 10.7980072279 | 24.4865086747
	7.5810516990 | 8.4068890438 | 0.6820073201
	8.4908655969 | 7.9917617238 | 0.2491046761
	6.0780658615 | 5.6327333620 | 0.1983210351
	7.0879116947 | 18.0591056720 | 120.3670972875
