Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 165,165,165
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.33948403063079268804
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.6188877590 | 0.0256200448
	7.4588251313 | 8.1478885417 | 0.4748083835
	7.4588251313 | 6.3861046052 | 1.1507293272
	7.4588251313 | 5.8185555240 | 2.6904843846
	7.4588251313 | 7.9877238594 | 0.2797338646
	7.4588251313 | 7.8118654844 | 0.1246374909
	7.4588251313 | 8.5177502002 | 1.1213223016
	7.4588251313 | 6.5065919822 | 0.9067479702
	7.4588251313 | 8.0386659314 | 0.3362153534
	7.4588251313 | 7.7277999980 | 0.0723474789
	7.4588251313 | 7.3552602039 | 0.0107256942
	7.4588251313 | 7.5661929352 | 0.0115278453
	7.4588251313 | 7.6843348009 | 0.0508546111
	7.4588251313 | 7.2165229090 | 0.0587103669
	7.4588251313 | 8.0098277370 | 0.3036038715
	7.4588251313 | 7.3773536625 | 0.0066376002
	7.4588251313 | 8.0516116069 | 0.3513958056
	7.4588251313 | 7.5445511026 | 0.0073489422
	7.4588251313 | 8.0946925138 | 0.4043273282
	7.4588251313 | 8.1605829787 | 0.4924640764
	7.4588251313 | 7.6436144606 | 0.0341470962
	7.4588251313 | 5.9619789810 | 2.2405483976
	7.4588251313 | 6.2841242445 | 1.3799221734
	7.4588251313 | 6.4750380467 | 0.9678370277
	7.4588251313 | 8.0545646728 | 0.3549056013
	7.4588251313 | 8.0610339833 | 0.3626555015
	7.4588251313 | 8.2700343970 | 0.6580604727
	7.4588251313 | 7.7642069616 | 0.0932580623
	7.4588251313 | 8.0470650805 | 0.3460262379
	7.4588251313 | 6.1288685534 | 1.7687844991
	7.4588251313 | 7.9839733068 | 0.2757806063
	7.4588251313 | 7.9344112596 | 0.2261821655
	7.4588251313 | 7.3925639635 | 0.0043905424
	7.4588251313 | 6.4944517796 | 0.9300159614
	7.4588251313 | 7.9974658742 | 0.2901338499
	7.4588251313 | 7.3787566764 | 0.0064109575
	7.4588251313 | 7.4704158519 | 0.0001343448
	7.4588251313 | 7.3542519080 | 0.0109355590
	7.4588251313 | 7.4521511213 | 0.0000445424
	7.4588251313 | 7.4853828373 | 0.0007053117
