Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 379,379,379
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.44452216291274293525
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.1733346249 | 0.5105238164
	7.4588251313 | 7.9190788252 | 0.2118334628
	7.4588251313 | 8.0666948997 | 0.3695056554
	7.4588251313 | 7.6822131573 | 0.0499022102
	7.4588251313 | 7.8120606729 | 0.1247753479
	7.4588251313 | 8.3128228805 | 0.7293121557
	7.4588251313 | 8.0149444060 | 0.3092686477
	7.4588251313 | 7.5020207218 | 0.0018658590
	7.4588251313 | 6.2405403804 | 1.4842177342
	7.4588251313 | 7.7368520582 | 0.0772989721
	7.4588251313 | 6.1063979530 | 1.8290592726
	7.4588251313 | 7.9542474776 | 0.2454433013
	7.4588251313 | 7.5207797601 | 0.0038383760
	7.4588251313 | 7.8741207476 | 0.1724704490
	7.4588251313 | 7.7174735390 | 0.0668989988
	7.4588251313 | 6.3324073099 | 1.2688171084
	7.4588251313 | 6.8784360416 | 0.3368514954
	7.4588251313 | 7.3242075566 | 0.0181218914
	7.4588251313 | 7.9958395669 | 0.2883845040
	7.4588251313 | 8.0010020583 | 0.2939558202
	7.4588251313 | 7.4006512952 | 0.0033841952
	7.4588251313 | 7.2177272241 | 0.0581282008
	7.4588251313 | 8.3407055545 | 0.7777130809
	7.4588251313 | 7.8085001128 | 0.1222725927
	7.4588251313 | 7.5458313417 | 0.0075700807
	7.4588251313 | 5.9522064103 | 2.2698999705
	7.4588251313 | 8.0958561097 | 0.4058084674
	7.4588251313 | 6.3504329099 | 1.2285333164
	7.4588251313 | 7.5533421155 | 0.0089334603
	7.4588251313 | 7.6534978795 | 0.0378974789
	7.4588251313 | 6.9830061197 | 0.2264037318
	7.4588251313 | 6.2837133079 | 1.3808877974
	7.4588251313 | 6.2396341861 | 1.4864265609
	7.4588251313 | 6.0489356119 | 1.9877884570
	7.4588251313 | 7.2943432976 | 0.0270542736
	7.4588251313 | 8.2376923501 | 0.6066341445
	7.4588251313 | 7.4944860899 | 0.0012717040
	7.4588251313 | 7.8425913515 | 0.1472765118
	7.4588251313 | 7.9694007116 | 0.2606874232
	7.4588251313 | 8.0217289689 | 0.3168607304
