Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 34,34,34
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.49301101095326593793
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.6623840883 | 0.0414362490
	7.4588251313 | 6.9883728016 | 0.2213253945
	7.4588251313 | 7.6841599865 | 0.0507757970
	7.4588251313 | 5.7768319879 | 2.8291009343
	7.4588251313 | 7.4215207732 | 0.0013916151
	7.4588251313 | 7.5032981468 | 0.0019778491
	7.4588251313 | 7.7367809685 | 0.0772594475
	7.4588251313 | 7.6166312512 | 0.0249027715
	7.4588251313 | 7.3269511382 | 0.0173907501
	7.4588251313 | 7.6447771230 | 0.0345781432
	7.4588251313 | 7.5158101482 | 0.0032472921
	7.4588251313 | 7.1886980136 | 0.0729686597
	7.4588251313 | 7.6176428747 | 0.0252230756
	7.4588251313 | 7.4300553940 | 0.0008276978
	7.4588251313 | 7.5773764058 | 0.0140544047
	7.4588251313 | 7.8007841642 | 0.1169359802
	7.4588251313 | 8.0452085107 | 0.3438454677
	7.4588251313 | 5.8983072614 | 2.4352160221
	7.4588251313 | 7.7606444174 | 0.0910948815
	7.4588251313 | 7.3396232990 | 0.0142090768
	7.4588251313 | 7.6837409952 | 0.0505871459
	7.4588251313 | 7.7699828612 | 0.0968191329
	7.4588251313 | 7.5417485727 | 0.0068762971
	7.4588251313 | 7.8986045733 | 0.1934059576
	7.4588251313 | 7.4614137185 | 0.0000067008
	7.4588251313 | 6.0124091167 | 2.0921192874
	7.4588251313 | 6.0256970312 | 2.0538561511
	7.4588251313 | 7.7264125613 | 0.0716030327
	7.4588251313 | 6.1733650448 | 1.6524076339
	7.4588251313 | 7.9517049818 | 0.2429305471
	7.4588251313 | 7.0344446603 | 0.1800987842
	7.4588251313 | 5.8278466289 | 2.6600908751
	7.4588251313 | 5.8451113558 | 2.6040721492
	7.4588251313 | 7.7765827114 | 0.1009698797
	7.4588251313 | 6.6035399462 | 0.7315127478
	7.4588251313 | 7.6770104167 | 0.0476048188
	7.4588251313 | 8.2876411674 | 0.6869360217
	7.4588251313 | 7.5465898329 | 0.0077026428
	7.4588251313 | 7.9199759232 | 0.2126600529
	7.4588251313 | 7.7365418512 | 0.0771265765
