Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 8,8,8
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.59528396180174603103
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.5136827804 | 0.8932940635
	7.4588251313 | 7.9101664097 | 0.2037089496
	7.4588251313 | 7.5042934010 | 0.0020673635
	7.4588251313 | 7.6027581357 | 0.0207167098
	7.4588251313 | 7.6224291185 | 0.0267662646
	7.4588251313 | 8.7949619582 | 1.7852616203
	7.4588251313 | 7.6197442604 | 0.0258949661
	7.4588251313 | 7.2745092945 | 0.0339723277
	7.4588251313 | 6.0922543053 | 1.8675158224
	7.4588251313 | 7.7080081963 | 0.0620921999
	7.4588251313 | 8.1274100766 | 0.4470058290
	7.4588251313 | 7.7090373663 | 0.0626061626
	7.4588251313 | 7.6112650078 | 0.0232379160
	7.4588251313 | 7.4799809673 | 0.0004475694
	7.4588251313 | 8.5862720625 | 1.2711365826
	7.4588251313 | 7.6739819256 | 0.0462924461
	7.4588251313 | 7.8650564490 | 0.1650238835
	7.4588251313 | 7.4061882060 | 0.0027706459
	7.4588251313 | 7.5342786987 | 0.0056932408
	7.4588251313 | 5.8350381601 | 2.6366841278
	7.4588251313 | 7.3932050380 | 0.0043059966
	7.4588251313 | 6.2409158202 | 1.4833030901
	7.4588251313 | 7.4653864573 | 0.0000430510
	7.4588251313 | 7.7390752313 | 0.0785401186
	7.4588251313 | 7.4406476579 | 0.0003304205
	7.4588251313 | 6.3386124214 | 1.2548765154
	7.4588251313 | 7.6953297438 | 0.0559344318
	7.4588251313 | 8.0332006182 | 0.3299071999
	7.4588251313 | 7.3451883427 | 0.0129133197
	7.4588251313 | 6.3118239077 | 1.3156118068
	7.4588251313 | 8.7503502555 | 1.6680371466
	7.4588251313 | 6.9633334601 | 0.2455119962
	7.4588251313 | 7.6880129455 | 0.0525270542
	7.4588251313 | 7.1849200530 | 0.0750239919
	7.4588251313 | 7.1709103544 | 0.0828949188
	7.4588251313 | 7.4823594366 | 0.0005538635
	7.4588251313 | 5.6235107708 | 3.3683788020
	7.4588251313 | 8.5855889763 | 1.2695967623
	7.4588251313 | 7.9059154573 | 0.1998897596
	7.4588251313 | 7.6492608236 | 0.0362657529
