Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 23,23,23
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.69443729516487184839
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.8748031716 | 0.1730377300
	7.4588251313 | 8.6928214992 | 1.5227470361
	7.4588251313 | 7.7265948111 | 0.0717006014
	7.4588251313 | 7.7666579713 | 0.0947610574
	7.4588251313 | 6.2736824351 | 1.4045632104
	7.4588251313 | 7.2147458618 | 0.0595746898
	7.4588251313 | 6.4796424915 | 0.9587986420
	7.4588251313 | 8.4219392372 | 0.9275887810
	7.4588251313 | 7.5557135901 | 0.0093873734
	7.4588251313 | 7.2936831524 | 0.0272718732
	7.4588251313 | 8.5114264933 | 1.1079696272
	7.4588251313 | 8.1536263398 | 0.4827487194
	7.4588251313 | 7.4690293525 | 0.0001041261
	7.4588251313 | 6.9135360858 | 0.2973401431
	7.4588251313 | 7.6839466661 | 0.0506797054
	7.4588251313 | 7.9720919888 | 0.2634428670
	7.4588251313 | 7.7673342253 | 0.0951778611
	7.4588251313 | 7.1971193407 | 0.0684899208
	7.4588251313 | 8.1582342479 | 0.4891731124
	7.4588251313 | 7.6117943547 | 0.0233995833
	7.4588251313 | 8.2045128553 | 0.5560501817
	7.4588251313 | 6.2550979965 | 1.4489590151
	7.4588251313 | 7.5386988568 | 0.0063798120
	7.4588251313 | 6.1008659922 | 1.8440530234
	7.4588251313 | 7.4230154669 | 0.0012823321
	7.4588251313 | 7.9585930283 | 0.2497679509
	7.4588251313 | 7.7643020424 | 0.0933161432
	7.4588251313 | 7.4358609588 | 0.0005273532
	7.4588251313 | 7.7696013043 | 0.0965818297
	7.4588251313 | 8.4302907807 | 0.9437455079
	7.4588251313 | 8.3405860834 | 0.7775023766
	7.4588251313 | 8.1378793629 | 0.4611146495
	7.4588251313 | 5.9839705171 | 2.1751961330
	7.4588251313 | 5.9420436146 | 2.3006261695
	7.4588251313 | 8.1137035066 | 0.4288656865
	7.4588251313 | 6.7852567109 | 0.4536944169
	7.4588251313 | 7.4167736321 | 0.0017683286
	7.4588251313 | 7.7824456217 | 0.1047302218
	7.4588251313 | 8.0061752382 | 0.2995921395
	7.4588251313 | 8.7495735911 | 1.6660315865
