Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 313,313,313
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.46176973837794577094
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.0279367943 | 2.0474414328
	7.4588251313 | 7.3077735399 | 0.0228165833
	7.4588251313 | 7.3089340486 | 0.0224673367
	7.4588251313 | 7.5887078414 | 0.0168695184
	7.4588251313 | 7.9833569730 | 0.2751336530
	7.4588251313 | 8.2033802180 | 0.5543622771
	7.4588251313 | 7.7656728250 | 0.0941555071
	7.4588251313 | 8.0115304028 | 0.3054831171
	7.4588251313 | 8.2125452964 | 0.5680940873
	7.4588251313 | 8.1441420282 | 0.4696592493
	7.4588251313 | 7.6788026516 | 0.0483901095
	7.4588251313 | 7.4742041590 | 0.0002365145
	7.4588251313 | 7.2145158310 | 0.0596870342
	7.4588251313 | 7.4876225933 | 0.0008292938
	7.4588251313 | 7.7286916660 | 0.0728279466
	7.4588251313 | 5.8950374984 | 2.4454317607
	7.4588251313 | 7.8232971754 | 0.1328398709
	7.4588251313 | 7.7828446915 | 0.1049886754
	7.4588251313 | 7.7188987497 | 0.0676382870
	7.4588251313 | 7.4665710189 | 0.0000599988
	7.4588251313 | 8.1768084352 | 0.5155000248
	7.4588251313 | 7.6162517222 | 0.0247831315
	7.4588251313 | 5.8435805321 | 2.6090151151
	7.4588251313 | 7.4381616935 | 0.0004269777
	7.4588251313 | 7.8386236050 | 0.1442468806
	7.4588251313 | 5.8977469917 | 2.4369649579
	7.4588251313 | 8.2668980048 | 0.6529817690
	7.4588251313 | 7.7392235699 | 0.0786232844
	7.4588251313 | 7.4025704377 | 0.0031645905
	7.4588251313 | 7.6869105786 | 0.0520229713
	7.4588251313 | 7.9629760736 | 0.2541681726
	7.4588251313 | 7.6133489804 | 0.0238776199
	7.4588251313 | 7.6280838458 | 0.0286485124
	7.4588251313 | 6.3227344266 | 1.2907020893
	7.4588251313 | 6.2805281511 | 1.3883837736
	7.4588251313 | 7.7689108622 | 0.0961531605
	7.4588251313 | 7.5830617869 | 0.0154347466
	7.4588251313 | 8.2625348512 | 0.6459493139
	7.4588251313 | 6.3333267814 | 1.2667465357
	7.4588251313 | 6.4243284819 | 1.0701833177
